,time,Run,treatment
0,2d,SRR25031734,TMV-P2
1,1d,SRR25031735,TMV-P2
2,1d,SRR25031736,TMV-P2
3,1d,SRR25031737,TMV-P2
4,4h,SRR25031738,TMV-P2
5,4h,SRR25031739,TMV-P2
6,4h,SRR25031740,TMV-P2
7,30m,SRR25031741,TMV-P2
8,3d,SRR25031742,TMV-P2
9,3d,SRR25031743,TMV-P2
10,3d,SRR25031744,TMV-P2
11,2d,SRR25031745,TMV-P2
12,2d,SRR25031746,TMV-P2
13,30m,SRR25031747,TMV-P2
14,30m,SRR25031748,TMV-P2
