Unnamed: 0	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CaT2T05g03467	91.8160646741118	1.55700016140914	0.430541928580058	3.6163728966983	0.0002987599104268	0.0305680931467386
CaT2T09g02419	27.26426789276	1.81629382112341	0.510868210846155	3.55530796898689	0.0003775366059652	0.0360893090800857
CaT2T06g00372	133.50997525877	1.05915500567047	0.257648569604401	4.11085148773274	3.94202700209941e-05	0.0063701279198211
CaT2T09g02576	904.297581283328	1.1843546622849	0.229864806484844	5.1523966647891	2.5717833498326e-07	8.18188762280337e-05
CaT2T10g00985	69.1919242367775	1.64756909808396	0.335564622055034	4.90984147254281	9.11500486383232e-07	0.0002599322357415
CaT2T10g00361	45.7195679704368	1.4215620060662	0.38594024496447	3.68337333204799	0.0002301676815436	0.0250611987374915
CaT2T07g00903	119.277058390237	1.13156313372482	0.280081848209916	4.04011591953197	5.34247892386778e-05	0.0081788130352535
CaT2T10g00980	100.366783425993	1.37436189232147	0.315804224304768	4.35194271180847	1.34936524465458e-05	0.0027474425746412
CaT2T07g02887	53.2833654470128	1.65922095448373	0.376330202919391	4.40894975107573	1.03873120337334e-05	0.0021803717558644
CaT2T03g04635	164.30931429188	1.25495886007549	0.273758272376949	4.58418607474072	4.55758245286338e-06	0.0010197465529972
CaT2T09g02552	1094.15629974494	1.24174269476622	0.214326301883641	5.79370186418079	6.885163854988961e-09	3.50472053128576e-06
CaT2T01g04109	130.634091852004	1.31667737687027	0.362845379133349	3.62875608341806	0.0002847901603598	0.0295847574239157
CaT2T03g04733	1038.41565196315	1.91141814268114	0.311632088324948	6.13357293517236	8.592699649404411e-10	2.71068985725676e-08
CaT2T03g03176	297.90685208079	1.30552311988626	0.231660247082206	5.63550775901138	1.74543284874919e-08	4.07646639096655e-07
CaT2T03g03177	305.052925960683	1.02730532039311	0.231072211077679	4.44581940685097	8.7557481167967e-06	0.0001038114404237
CaT2T11g02055	69.2162873150737	2.00537652360726	0.389394728408925	5.14998374991174	2.60509028791023e-07	4.54309230268728e-06
CaT2T11g02056	139.913562157306	1.12574884125674	0.401659357153258	2.80274521483934	0.0050669680845951	0.0244370893209004
CaT2T03g02622	145.318450473303	1.80980780796578	0.302577606576824	5.98130122199335	2.2136207993793903e-09	6.4152914864931e-08
CaT2T01g00740	1800.29150589568	1.59642985059281	0.307384959059247	5.19358479828906	2.06282917896699e-07	3.70344921500313e-06
CaT2T02g01059	149.797161151406	3.31281040909765	0.520037830942028	6.37032579552266	1.88627081751477e-10	6.870692837570311e-09
CaT2T03g00080	879.4213283214	3.19796086486498	0.389405843078038	8.21241109169515	2.16790572589386e-16	2.49820048547469e-14
CaT2T12g01718	363.268715316825	2.80168691286696	0.405489624398621	6.90939235997007	4.8673402505688194e-12	2.53763114381934e-10
CaT2T02g00868	362.703063268517	5.26522722389894	0.969202053490391	5.43253824621734	5.55580406632005e-08	1.15063112116776e-06
CaT2T12g00040	721.660557582103	3.70722440700502	0.424577256933516	8.73156615542768	2.51170041375664e-18	4.67070521151839e-16
CaT2T07g00466	352.807944690007	1.73702785998225	0.294727576270587	5.89367266532092	3.77705030483346e-09	1.03933599198112e-07
CaT2T12g02192	87.3401007605919	2.52899169971317	0.430943441821776	5.86850025846101	4.397547145326211e-09	1.18787565549438e-07
CaT2T04g01469	112.847711069966	3.74636714928369	0.438916586186594	8.53548776051725	1.39565381647284e-17	2.0719008673789203e-15
CaT2T02g02194	760.845539054257	1.26191503579447	0.269205854590979	4.68754677609731	2.76499516170965e-06	3.75164397286964e-05
CaT2T08g01806	7176.84968871489	1.00528484802648	0.23692180045351	4.24310825809273	2.20445024289496e-05	0.0002353100784953
CaT2T11g02245	58.4229127110503	1.61718157749527	0.429649659179679	3.76395405638846	0.0001672476244409	0.0013710424748832
CaT2T10g02241	16.429829802087	1.66341474666789	0.527016852381197	3.1562837870405	0.0015979330740849	0.009441165781533
CaT2T08g01392	166.800424199155	1.26510305352011	0.318014837533418	3.97812587403935	6.94605991725019e-05	0.0006421198037579
CaT2T01g00465	167.228396654434	1.24947757753661	0.480762572361352	2.59894935539508	0.0093509568077869	0.0398634177042385
CaT2T01g00461	2223.12037528057	3.39880314158187	0.424475629521475	8.00706308019013	1.17480239019508e-15	1.19276201294174e-13
CaT2T07g02073	568.092400846166	1.4843809538569	0.238786372234729	6.21635539735804	5.088348553764271e-10	1.68967604418796e-08
CaT2T07g02070	325.334278560062	2.84950014662149	0.248984536827767	11.4444864043609	2.5058409390224597e-30	5.53352325359635e-27
CaT2T06g03316	345.290260178595	1.16568973354265	0.318735340335616	3.65723403095253	0.0002549515839626	0.0020002075682604
CaT2T11g00622	82.5848375212451	1.74282629701136	0.35751425583114	4.8748442015541	1.0889436204915e-06	1.63443313505546e-05
CaT2T07g02915	924.831064224081	3.33092451388816	0.83526166602503	3.98788146203317	6.66659571848815e-05	0.0006192012616341
CaT2T07g02914	1435.67277699316	3.97464938041451	0.456303310201575	8.71054250879459	3.02423884057182e-18	5.50785601624141e-16
CaT2T05g01962	321.363709510928	2.57134398247404	0.291676395060881	8.81574246670641	1.18894495051905e-18	2.44231412742669e-16
CaT2T06g00035	535.478251019713	1.18691636178183	0.324541841096151	3.65720597927522	0.0002549794771721	0.0020002075682604
CaT2T04g01073	304.022185321114	1.18109588097131	0.280264768050646	4.21421461279742	2.50648864328466e-05	0.0002629431613555
CaT2T04g01076	236.245165624023	1.08412218911883	0.302767523348096	3.5807083174915	0.0003426640176932	0.0025836545183817
