Unnamed: 0	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CaT2T03g00783	340.300744155591	-1.23346426500317	0.116708969293117	-10.5687186895233	4.16141204588499e-26	2.02481792976689e-24
CaT2T03g00019	38.3938916973909	-1.325350938529	0.348163382661903	-3.80669250280127	0.0001408376761708	0.0015496345980113
CaT2T08g02241	1916.90303155412	-1.40019010772349	0.0553937490291279	-25.277041764897	5.71349534814573e-141	1.8165959950888898e-138
CaT2T04g01072	1753.75348251673	-1.44237740728519	0.0564351505905515	-25.5581387165941	4.4582389654798903e-144	1.49480699568027e-141
CaT2T04g01075	1645.40685708049	-1.56839726183283	0.071997064276304	-21.7841835302308	3.27735574847229e-105	7.027641553206679e-103
CaT2T04g01077	6359.04709040824	-1.24716206735801	0.0352542462806444	-35.3762226947037	3.96347303575449e-274	4.87269375015657e-271
CaT2T09g01480	32.2306119243972	-1.00278767987986	0.362467183059794	-2.76656129643172	0.0056650933713134	0.0386930044913376
CaT2T09g00437	3075.21798168144	-1.01653876431288	0.0565977845497577	-17.9607518633383	3.9541529658947097e-72	5.0991982408436597e-70
CaT2T08g02569	1819.36707914584	-1.93442978903704	0.0606850538021167	-31.8765440226002	5.64518403557303e-223	4.16411355200009e-220
CaT2T04g02704	11.5049727024201	-1.80242352055141	0.636962330067388	-2.82971760725743	0.0046589105533044	0.03319743798821
CaT2T08g03083	260.651529485737	-1.08757401632826	0.134165010383705	-8.10624180788902	5.22094912234973e-16	1.63185631805511e-14
CaT2T10g00604	39.7914641999381	-1.11354979874169	0.356818131060787	-3.12077694995826	0.0018037459944838	0.0150171015278903
CaT2T03g04138	76.964753696673	-1.08098386293956	0.257809395760569	-4.1929575908222	2.75340932836096e-05	0.0003475401877091
CaT2T05g03267	956.290724007393	-1.54061502881998	0.0772142903479633	-19.9524598604385	1.42692361327898e-88	2.43647206967386e-86
CaT2T02g03409	456.707077828629	-1.09701004470895	0.100414288659506	-10.9248400735954	8.76947476369931e-28	4.5046764378100003e-26
CaT2T03g01994	72.3420842183564	-1.06421930483403	0.264685167443059	-4.0206986855921	5.80257856729513e-05	0.000690802784761
CaT2T07g00434	23.2733336929808	-1.37329269479108	0.469208907639541	-2.92682571117358	0.003424407248748	0.0256705260464077
CaT2T09g00363	142.170547916697	-1.20660049531838	0.189324280741923	-6.37319466150858	1.8513065791840602e-10	4.1735873626813304e-09
CaT2T06g03021	35.9041121219054	-1.01797930841193	0.379618280905996	-2.68158663482281	0.0073273938752764	0.0478306987626267
CaT2T02g03021	45.8848348262698	-1.00507418749772	0.348985887699951	-2.87998518828891	0.003976938540592	0.0291489362587672
CaT2T02g03527	143.24701083847	-1.06977866886825	0.217534036012332	-4.91775304903367	8.75432528642057e-07	1.40381315310332e-05
CaT2T07g02947	226.300301767245	-1.08848333547785	0.145559112021393	-7.47794707155038	7.549258832040091e-14	2.09032856038515e-12
CaT2T07g02948	206.87125943602	-1.31985231314415	0.166406872668414	-7.93147717987655	2.1655439593645104e-15	6.546687894203421e-14
CaT2T12g01900	330.614411962459	-1.0523901131241	0.120553570355506	-8.72964699444949	2.55468726922916e-18	8.92253559315435e-17
CaT2T02g03312	605.226792661541	-1.97856094489448	0.0942325444503305	-20.9965777368706	7.04835586877063e-98	1.36819716395789e-95
CaT2T09g01431	549.805743724779	-1.30082155834353	0.0913772596538036	-14.2357252041907	5.49895010114588e-46	4.3898761391875e-44
CaT2T01g03692	363.311321070049	-1.30439919165031	0.112540774863507	-11.590458598071	4.60659454338577e-31	2.57424878710839e-29
CaT2T05g02047	110.243424724651	-1.28911217909281	0.21371395042906	-6.03195147768662	1.6199142347340602e-09	3.41014137017476e-08
