""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T02g02154"	903.500121810862	-4.66773203266461	0.115636546463466	-40.3655433806935	0	0	"Yes"	"No"	"Yes"
"CaT2T07g00837"	4853.64436071604	-4.88721323595572	0.0634298112993926	-77.0491530061121	0	0	"Yes"	"No"	"Yes"
"CaT2T02g04139"	1155.389189187	3.6911445404341	0.0975908051217217	37.8226671644963	0	0	"Yes"	"Yes"	"No"
"CaT2T01g05747"	2102.25695821342	5.36349891963784	0.105432900229541	50.8712072603602	0	0	"Yes"	"Yes"	"No"
"CaT2T01g02919"	11889.2531260154	-2.3879245529409	0.0416588339354934	-57.3209647835675	0	0	"Yes"	"No"	"Yes"
"CaT2T12g01498"	3548.29934052291	-2.09879325986633	0.049912079986349	-42.0498055869511	0	0	"Yes"	"No"	"Yes"
"CaT2T02g00980"	4415.0521624984	-2.5884499888754	0.0493172977336197	-52.4856411001377	0	0	"Yes"	"No"	"Yes"
"CaT2T02g00982"	8219.76468787181	-3.63557033588524	0.0449007496378499	-80.9690342635297	0	0	"Yes"	"No"	"Yes"
"CaT2T01g01672"	2527.08400398808	2.65082731123035	0.0682106507343204	38.8623665467624	0	0	"Yes"	"Yes"	"No"
"CaT2T10g00321"	2029.3411571652	4.47577958916287	0.086952740955472	51.4737033011403	0	0	"Yes"	"Yes"	"No"
"CaT2T11g01629"	1513.17906126454	4.30612355907576	0.0965949090799537	44.5791978075313	0	0	"Yes"	"Yes"	"No"
"CaT2T12g01807"	3828.9537352102	7.44776417633696	0.145368067648743	51.2338390184372	0	0	"Yes"	"Yes"	"No"
"CaT2T07g00155"	1675.96892596772	-3.16643466826919	0.0811283603697403	-39.0299354484455	0	0	"Yes"	"No"	"Yes"
"CaT2T04g01349"	3197.59502297674	3.81850221304048	0.066325674959317	57.5720068492733	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03471"	2589.13259214181	-3.57068855954715	0.071554883493713	-49.9013957567394	0	0	"Yes"	"No"	"Yes"
"CaT2T09g00737"	4099.41927779574	6.74904660457393	0.113799490912449	59.3064744882408	0	0	"Yes"	"Yes"	"No"
"CaT2T03g00621"	6508.12778631808	4.51930969632136	0.0546199105389744	82.7410673456994	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01439"	9319.37365553963	1.43048074612148	0.0374176545001231	38.2301019460419	0	0	"Yes"	"Yes"	"No"
"CaT2T08g00087"	1456.63530868867	3.09312146115889	0.0778161167260482	39.7491109977671	0	0	"Yes"	"Yes"	"No"
"CaT2T07g01988"	8799.79722640509	1.5840561124378	0.0395915514576415	40.0099529853625	0	0	"Yes"	"Yes"	"No"
"CaT2T11g01249"	1367.46763624903	5.77959905024789	0.144528533853146	39.9893287239769	0	0	"Yes"	"Yes"	"No"
"CaT2T04g01035"	1410.39357814478	3.63485522397441	0.091287883133498	39.8174993132314	0	0	"Yes"	"Yes"	"No"
"CaT2T10g01854"	8222.94942251183	3.50908396436971	0.0435333327488677	80.6068302790574	0	0	"Yes"	"Yes"	"No"
"CaT2T02g03012"	6157.74182630626	-2.25547124168012	0.0409108096460805	-55.1314251952529	0	0	"Yes"	"No"	"Yes"
"CaT2T08g02714"	5987.89523013155	2.45375735527537	0.0441866285228964	55.5316718496388	0	0	"Yes"	"Yes"	"No"
"CaT2T09g02924"	9647.61447155607	5.2875067325799	0.0556728662330172	94.9745736181284	0	0	"Yes"	"Yes"	"No"
"CaT2T09g02925"	14067.0180975676	4.24967288149284	0.0426368739395204	99.6713053475946	0	0	"Yes"	"Yes"	"No"
"CaT2T09g02923"	9280.3903986149	5.18031759331542	0.0552906801084993	93.6924194665332	0	0	"Yes"	"Yes"	"No"
"CaT2T06g00201"	4272.68516103855	2.08923221728872	0.0509651647491704	40.9933378528465	0	0	"Yes"	"Yes"	"No"
"CaT2T01g00314"	6310.42137058291	-1.66286737497676	0.0403032746040318	-41.2588652240783	0	0	"Yes"	"No"	"Yes"
"CaT2T01g00311"	2328.7508762271	6.47725975250419	0.13697503254139	47.287886210554	0	0	"Yes"	"Yes"	"No"
"CaT2T01g00310"	1220.03325782074	3.48201722474528	0.0919131647084513	37.8837703585797	0	0	"Yes"	"Yes"	"No"
"CaT2T01g06011"	1406.518026929	3.65009338861658	0.0878363953162119	41.5555917962731	0	0	"Yes"	"Yes"	"No"
"CaT2T03g04833"	44769.2250359613	4.0758235015708	0.0324480200100045	125.610853923109	0	0	"Yes"	"Yes"	"No"
"CaT2T03g02106"	30829.5178693257	1.62791431255209	0.0312284551239529	52.129197748993	0	0	"Yes"	"Yes"	"No"
"CaT2T12g02380"	2325.17970401638	3.90249381189426	0.0791350246948491	49.3143690413011	0	0	"Yes"	"Yes"	"No"
