""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T02g03511"	823.934774603681	2.12997479824391	0.251756330190392	8.46046173549281	2.66320926001657e-17	3.67564490526974e-15	"Yes"	"Yes"	"No"
"CaT2T12g00896"	417.505187941454	3.95582192748196	0.467640111494891	8.45911595315573	2.69412057864558e-17	3.68948326684905e-15	"Yes"	"Yes"	"No"
"CaT2T05g00399"	130.659313770133	4.46227303465617	0.52760229669656	8.45764520472237	2.72830711821703e-17	3.70755950387862e-15	"Yes"	"Yes"	"No"
"CaT2T06g00508"	269.547054866049	1.97308603138148	0.23354877736382	8.44828242584986	2.95619552153853e-17	3.98657634225189e-15	"Yes"	"Yes"	"No"
"CaT2T10g00139"	131.861541659396	2.49399737230742	0.295717177866008	8.43372505549027	3.34832841356072e-17	4.48117952681542e-15	"Yes"	"Yes"	"No"
"CaT2T04g01201"	85.9109516294188	5.29903295382481	0.628855984340165	8.42646501867178	3.56264254322673e-17	4.73215362170251e-15	"Yes"	"Yes"	"No"
"CaT2T03g01080"	786.003244869936	2.64253749746591	0.313667142701204	8.42465511277078	3.61814395324493e-17	4.77000978194216e-15	"Yes"	"Yes"	"No"
"CaT2T09g00609"	87.2226598334993	3.5357066083541	0.420509713113462	8.40814492054336	4.1654628096594e-17	5.45089377744021e-15	"Yes"	"Yes"	"No"
"CaT2T12g00039"	1100.07760926356	3.44543666697015	0.409909485645231	8.40535968946107	4.26552245220772e-17	5.54078820887511e-15	"Yes"	"Yes"	"No"
"CaT2T03g00073"	776.298465927205	-2.40978951006333	0.287513387172753	-8.38148628055155	5.22634950650584e-17	6.73932046583447e-15	"Yes"	"No"	"Yes"
"CaT2T07g02050"	1159.51628440193	-1.83178990404329	0.218841810543335	-8.37038360949109	5.74309631199887e-17	7.35199561215739e-15	"Yes"	"No"	"Yes"
"CaT2T03g02671"	171.025842429866	2.93665044210485	0.350994316728711	8.36666094617889	5.92739392037973e-17	7.53333388470707e-15	"Yes"	"Yes"	"No"
"CaT2T02g03925"	412.938197139815	1.98163748838138	0.236988958477666	8.36172917553092	6.1805594865825e-17	7.7989831349976e-15	"Yes"	"Yes"	"No"
"CaT2T10g02874"	382.642638655253	3.29637790012178	0.39633400004529	8.31717162732717	9.00872556451285e-17	1.12871025406159e-14	"Yes"	"Yes"	"No"
