""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T06g00088"	1951.17674093793	0.887000441433245	0.0978083845285184	9.06875668899958	1.20382777392216e-19	6.231197762094e-17	"Yes"	"No"	"No"
"CaT2T01g00129"	1885.68985851104	-0.98931499894288	0.110303269485356	-8.96904510227801	2.99096076237448e-19	1.50946312275134e-16	"Yes"	"No"	"No"
"CaT2T09g00024"	187.967707153008	2.02650049572422	0.2260951963703	8.96304091487731	3.1584531950927e-19	1.55511450364235e-16	"Yes"	"Yes"	"No"
"CaT2T02g00372"	300.112469724383	1.70095152291776	0.189923769609016	8.95596968414961	3.36762532555648e-19	1.61862505826211e-16	"Yes"	"Yes"	"No"
"CaT2T07g02943"	8371.13119186558	0.849874963837085	0.0951980050381814	8.92744510240759	4.35960366116056e-19	2.0466818397174e-16	"Yes"	"No"	"No"
"CaT2T01g02501"	1293.13580227532	-0.891790005271783	0.0999827483494487	-8.91943880313129	4.68656956910153e-19	2.15017681571483e-16	"Yes"	"No"	"No"
"CaT2T03g04167"	1056.3563388122	-1.40191790087683	0.158029973383631	-8.87121519329476	7.23519858338913e-19	3.24571008450836e-16	"Yes"	"No"	"Yes"
"CaT2T01g04075"	1866.15127850494	0.900868925538727	0.101829030963832	8.84687713328724	9.00023903277628e-19	3.94973533379684e-16	"Yes"	"No"	"No"
"CaT2T02g04171"	5194.96360850166	0.868095224475231	0.0985238028726025	8.8110202729155	1.24011935296397e-18	5.326444548571e-16	"Yes"	"No"	"No"
"CaT2T10g02095"	1592.35470981071	1.00979833655871	0.114695296692219	8.80418260975839	1.31809635537738e-18	5.54341898458399e-16	"Yes"	"Yes"	"No"
"CaT2T02g03266"	213.828878579003	2.30799590825773	0.262897833587098	8.77906020284147	1.64846278164306e-18	6.79133023939358e-16	"Yes"	"Yes"	"No"
