""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T06g00635"	5.44853367132063	0.583529003786867	0.784654232869983	0.74367661492442	0.45707214024506	0.585767261357486	"No"	"No"	"No"
"CaT2T01g00575"	21.6193927554593	-0.390325556734508	0.525907112297031	-0.742194862187096	0.457969281028166	0.58685801224526	"No"	"No"	"No"
"CaT2T02g03948"	125.485701699356	-0.190133044308039	0.256363948515069	-0.741652815886722	0.458297714590931	0.587219855610028	"No"	"No"	"No"
"CaT2T06g03808"	6.1038611887008	0.562355757833733	0.758386845975216	0.741515706421034	0.458380812094922	0.587267307144826	"No"	"No"	"No"
"CaT2T08g01369"	63.9472586243669	-0.212420119416926	0.286653679205322	-0.741033989187963	0.45867283193094	0.587523353188742	"No"	"No"	"No"
"CaT2T03g01134"	115.999591638188	0.196075489933438	0.264575719520398	0.741094044037254	0.458636420636679	0.587523353188742	"No"	"No"	"No"
"CaT2T04g00151"	253.307888558349	-0.147698008574985	0.199479558735343	-0.740416760049793	0.45904715226145	0.587943755694317	"No"	"No"	"No"
"CaT2T11g00145"	71.4355058707095	0.208551358700217	0.28177220662465	0.740141695302225	0.459214021164778	0.588098398375666	"No"	"No"	"No"
"CaT2T04g02524"	22.8730001672722	-0.346591537412546	0.468580430424763	-0.739662851686668	0.459504594218035	0.588411417405155	"No"	"No"	"No"
"CaT2T06g01961"	19.5286982199476	0.39329462893114	0.532015325845624	0.739254321867531	0.459752580654184	0.588610730142619	"No"	"No"	"No"
"CaT2T01g04750"	6.22578552037533	0.56834397687498	0.768742689901253	0.739316268422644	0.459714972937043	0.588610730142619	"No"	"No"	"No"
"CaT2T01g00660"	58.277238327512	-0.248692365423754	0.336563467801051	-0.7389166954114	0.459957583748988	0.588814061172391	"No"	"No"	"No"
"CaT2T08g00675"	166.864849294448	0.164880942181162	0.223339193611805	0.73825350362708	0.460360415458399	0.5892705759718	"No"	"No"	"No"
"CaT2T10g00823"	172.743699816459	-0.186812903026718	0.253118573489262	-0.738045021554465	0.460487091064302	0.589295970457843	"No"	"No"	"No"
