""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T01g03754"	3608.66278224978	-1.7115113539921	0.128960682975678	-13.2715748280807	3.38393618138384e-40	6.89003245891564e-36	"Yes"	"No"	"Yes"
"CaT2T01g00828"	9369.24159828576	-1.20426580214466	0.117942743655059	-10.2105968101498	1.77768018128474e-24	1.80976730855693e-20	"Yes"	"No"	"Yes"
"CaT2T01g01605"	550.389804970022	-1.65727905566972	0.171592030712778	-9.65825189424898	4.53536774803176e-22	3.07815409058915e-18	"Yes"	"No"	"Yes"
"CaT2T06g03499"	4607.64157093539	-1.1158590080359	0.11696113960803	-9.54042523675357	1.42247831169438e-21	7.24077022610231e-18	"Yes"	"No"	"Yes"
"CaT2T08g02641"	1181.98356684831	-1.16205158692079	0.123837451204849	-9.38368462540913	6.37066270457077e-21	2.59426126655531e-17	"Yes"	"No"	"Yes"
"CaT2T03g00218"	3901.50467312576	-1.25495258186148	0.135849458723979	-9.23781804984087	2.51574849677103e-20	8.53719252379248e-17	"Yes"	"No"	"Yes"
"CaT2T02g03463"	2647.27451241105	-1.29341367810149	0.144937184649816	-8.92396027442176	4.49905276165114e-19	1.3086459039997e-15	"Yes"	"No"	"Yes"
"CaT2T01g04022"	4691.39635856479	-1.50323620423339	0.171392425071991	-8.77072719871943	1.7751605530087e-18	4.51800550247627e-15	"Yes"	"No"	"Yes"
"CaT2T02g02353"	1457.12869266099	-1.4566162064923	0.174591536467668	-8.34299437396868	7.2432613409626e-17	1.63866715737044e-13	"Yes"	"No"	"Yes"
"CaT2T10g02808"	12826.5727626238	-0.980829742888852	0.118167328756785	-8.30034623959065	1.03808411059234e-16	2.11364305757705e-13	"Yes"	"No"	"No"
"CaT2T06g01608"	4576.74972779088	-1.55655793706309	0.188461628593577	-8.25928306297221	1.46550018899614e-16	2.71264084983186e-13	"Yes"	"No"	"Yes"
"CaT2T11g03318"	1499.48098006355	-1.13422978844088	0.143550457116088	-7.90126211526892	2.76093364458561e-15	4.34055492475543e-12	"Yes"	"No"	"Yes"
"CaT2T02g01813"	1297.11806287086	-1.02844735192134	0.130170137017872	-7.90079334233267	2.77133804930114e-15	4.34055492475543e-12	"Yes"	"No"	"Yes"
"CaT2T03g00135"	998.577041936707	-0.983355388767139	0.125199184341138	-7.85432743785079	4.01923013870647e-15	5.84539606101446e-12	"Yes"	"No"	"No"
"CaT2T01g02184"	1502.7543503314	-1.4485969461712	0.186111219876372	-7.78350143066853	7.0544354688945e-15	9.57569070547739e-12	"Yes"	"No"	"Yes"
