Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR24630912_1	(1.0, 41.33250319206125)	(2.0, 12.843204316722934)	(3.0, 7.045366180321653)	(4.0, 4.568456683239371)	(5.0, 3.3584978452928143)	(6.0, 2.6054532145993723)	(7.0, 2.0525059774986625)	(8.0, 1.6553764059749385)	(9.0, 1.4067733478735076)	('>10', 14.483127426527176)	('>50', 3.1422898019030074)	('>100', 4.367167593756797)	('>500', 0.6499306162291031)	('>1k', 0.48934739799939514)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630912_2	(1.0, 43.32843023142159)	(2.0, 13.931475898620468)	(3.0, 7.313741758078993)	(4.0, 4.672227795199935)	(5.0, 3.3374961821753217)	(6.0, 2.5513923421475373)	(7.0, 1.872932533479418)	(8.0, 1.5625436488761704)	(9.0, 1.3369822814721692)	('>10', 12.562901849256622)	('>50', 2.5799657854840583)	('>100', 3.802434432979203)	('>500', 0.9496123638305287)	('>1k', 0.1978628969780018)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630913_1	(1.0, 41.56550979172503)	(2.0, 13.113441369218465)	(3.0, 7.091443962930412)	(4.0, 4.7602337569888915)	(5.0, 3.3231291207048326)	(6.0, 2.492432662726409)	(7.0, 2.109223406528227)	(8.0, 1.686271696323078)	(9.0, 1.4274695420444419)	('>10', 14.31825290321857)	('>50', 2.9879183066949726)	('>100', 3.8851196467413494)	('>500', 0.8382363104071039)	('>1k', 0.40131752374825647)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630913_2	(1.0, 44.0687330048878)	(2.0, 14.023294014918344)	(3.0, 7.26040412505778)	(4.0, 4.637555842040973)	(5.0, 3.3027905685129872)	(6.0, 2.5370633804346285)	(7.0, 1.8675448186398436)	(8.0, 1.5732236328277551)	(9.0, 1.2948482317119865)	('>10', 12.426468638488668)	('>50', 2.233773678434408)	('>100', 3.195439133131532)	('>500', 1.20357642404292)	('>1k', 0.375284506870465)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630914_1	(1.0, 41.10353712108326)	(2.0, 12.563713317388341)	(3.0, 6.566085009123326)	(4.0, 4.334956977081488)	(5.0, 3.1376633889904646)	(6.0, 2.339526513102439)	(7.0, 1.9497140938202988)	(8.0, 1.5217775137366285)	(9.0, 1.2778425114900434)	('>10', 13.901405400848915)	('>50', 3.292280982554859)	('>100', 5.402915660770464)	('>500', 1.4195614066603246)	('>1k', 1.1890201033491432)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630914_2	(1.0, 43.69895102416438)	(2.0, 13.219146258636608)	(3.0, 6.7895108950981164)	(4.0, 4.21750524189923)	(5.0, 3.0413056978121515)	(6.0, 2.2049882840868826)	(7.0, 1.825839143621515)	(8.0, 1.4413605929159374)	(9.0, 1.1860743999833252)	('>10', 12.158253176682864)	('>50', 2.9027214654542934)	('>100', 4.584637265210773)	('>500', 1.5989620082644669)	('>1k', 1.1307445461695187)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630931_1	(1.0, 21.40813454423071)	(2.0, 9.720929546490192)	(3.0, 5.900908646908356)	(4.0, 4.302101377417347)	(5.0, 3.2920607065132237)	(6.0, 2.6915643007789645)	(7.0, 2.1367087426435503)	(8.0, 1.852696119054667)	(9.0, 1.6660363657162416)	('>10', 19.62999170208755)	('>50', 5.864243333867409)	('>100', 10.860189754727049)	('>500', 3.664473315412592)	('>1k', 5.776021469970223)	('>5k', 0.5745265537877484)	('>10k+', 0.6594135203942649)
SRR24630931_2	(1.0, 27.998288214590744)	(2.0, 10.713125756380421)	(3.0, 6.441358857897822)	(4.0, 4.473701644409708)	(5.0, 3.2336470227430145)	(6.0, 2.6146596380328484)	(7.0, 2.1149432652057225)	(8.0, 1.6974313812318842)	(9.0, 1.4747750924681602)	('>10', 16.769845284007435)	('>50', 4.957814176599876)	('>100', 9.190342249219029)	('>500', 3.0292796976999377)	('>1k', 4.6907443900246095)	('>5k', 0.48628263967550134)	('>10k+', 0.11376068981312952)
SRR24630932_1	(1.0, 26.039849703010916)	(2.0, 10.673410654737756)	(3.0, 6.205845197000019)	(4.0, 4.301662902194154)	(5.0, 3.1388240807854086)	(6.0, 2.537086922863241)	(7.0, 2.0400241647676)	(8.0, 1.6946513194857218)	(9.0, 1.505684540532865)	('>10', 17.619850836707528)	('>50', 5.594582013799627)	('>100', 10.277590556699764)	('>500', 3.6429128598124123)	('>1k', 4.077402069367221)	('>5k', 0.5731368440845673)	('>10k+', 0.07748533415121818)
SRR24630932_2	(1.0, 34.52113340831674)	(2.0, 11.252639925119382)	(3.0, 6.08365517276152)	(4.0, 3.964760815729509)	(5.0, 2.863289702265668)	(6.0, 2.2043970347871773)	(7.0, 1.8005428216483772)	(8.0, 1.4438953935911607)	(9.0, 1.2219399009453822)	('>10', 14.786672118508356)	('>50', 4.52790283043411)	('>100', 8.652154029260966)	('>500', 3.0257818403621863)	('>1k', 3.345927842812646)	('>5k', 0.19805086037101602)	('>10k+', 0.10725630308606729)
