Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR24630896_1	(1, 34.665037121794995)	(2, 34.72485785870702)	(3, 34.66842878468044)	(4, 34.66157890929656)	(5, 34.66242748262279)	(6, 38.5070207211295)	(7, 38.887225236244554)	(8, 39.1298459231786)	(9, 39.22175409523434)	(10, 39.26713869544346)	(12, 39.27531206639179)	(14, 39.260937218462914)	(16, 39.26275615353758)	(18, 39.254884754746264)	(20, 39.24226558030342)	(22, 39.22894316321096)	(24, 39.21805401566415)	(26, 39.198332577087726)	(28, 39.1837415086771)	(30, 39.182851374722986)	(32, 39.158768437596585)	(34, 39.14179815476073)	(36, 39.12510511813872)	(38, 39.11984664654396)	(40, 39.09009502390394)	(42, 39.07375998737399)	(44, 39.05505994068404)	(46, 39.041960583164)	(48, 39.01014237145469)	(50, 38.98656815745691)	(52, 38.955543148743644)	(54, 38.93516423681666)	(56, 38.91846133612158)	(58, 38.89009752280245)	(60, 38.87325139576634)	(62, 38.858995837361164)	(64, 38.83366884333879)	(66, 38.8193017551474)	(68, 38.77749347327165)	(70, 38.74906560923803)	(72, 38.73006135453451)	(74, 38.704609152544606)	(76, 38.66803935107551)	(78, 38.659329637593956)	(80, 38.625475612723335)	(82, 38.59781911920403)	(84, 38.56741962424458)	(86, 38.56410569025495)	(88, 38.52934469674551)	(90, 38.52305220725076)	(92, 38.46738529727028)	(94, 38.434044598762384)	(96, 38.401859312013784)	(98, 38.367650048991564)	(100, 37.18288254519389)
SRR24630896_2	(1, 34.13107669645617)	(2, 34.096868617122716)	(3, 34.080283296178656)	(4, 34.09454069587748)	(5, 34.15245911341711)	(6, 38.92135466603536)	(7, 38.990468674991945)	(8, 39.00496623198985)	(9, 38.99926348254388)	(10, 39.01238467254566)	(12, 38.99513543372329)	(14, 38.98581414771121)	(16, 38.98468333037411)	(18, 38.97538506053253)	(20, 38.974045913972134)	(22, 38.96567460395747)	(24, 38.94689472403611)	(26, 38.92998402020162)	(28, 38.92069127424096)	(30, 38.90396535737537)	(32, 38.870119092242234)	(34, 38.85367449874069)	(36, 38.82275852091512)	(38, 38.81153557313553)	(40, 38.76519744586268)	(42, 38.705660925776144)	(44, 38.66519981324022)	(46, 38.64561160541077)	(48, 38.62277035780281)	(50, 38.594635127937025)	(52, 38.569675998079795)	(54, 38.532015493170775)	(56, 38.514735083877504)	(58, 38.48511090506159)	(60, 38.45988057895533)	(62, 38.42578034682081)	(64, 38.4089060742962)	(66, 38.36667587313487)	(68, 38.337917496892814)	(70, 38.310851795590104)	(72, 38.25983993897427)	(74, 38.23561995699264)	(76, 38.18902983553302)	(78, 38.155679535994004)	(80, 38.118704123840146)	(82, 38.070706333392515)	(84, 38.01275411496248)	(86, 38.02272353633596)	(88, 37.99351917247003)	(90, 37.93955914169412)	(92, 37.90461178296409)	(94, 37.868165874252796)	(96, 37.80637298033104)	(98, 37.76534488087488)	(100, 36.35268269907343)
SRR24630912_1	(1, 34.67185521761699)	(2, 34.73533314370977)	(3, 34.68092434785773)	(4, 34.67116759275753)	(5, 34.671458971397485)	(6, 38.540356300769794)	(7, 38.91940902569878)	(8, 39.15708229662872)	(9, 39.25114971259579)	(10, 39.2920593215307)	(12, 39.30446901091197)	(14, 39.29164942816044)	(16, 39.29093295274542)	(18, 39.28471404191255)	(20, 39.27279816390755)	(22, 39.25464984763076)	(24, 39.24528610653014)	(26, 39.22693416039856)	(28, 39.21212903692296)	(30, 39.212620094926706)	(32, 39.189122574398525)	(34, 39.17267416637457)	(36, 39.15972146404718)	(38, 39.153120432992964)	(40, 39.12539612650765)	(42, 39.11287307000558)	(44, 39.096768354699506)	(46, 39.084314850781574)	(48, 39.05945153777053)	(50, 39.038817045818035)	(52, 39.00886897202957)	(54, 38.99112169044623)	(56, 38.97875797041489)	(58, 38.95570326401538)	(60, 38.9415758293158)	(62, 38.92430631772099)	(64, 38.90393076249744)	(66, 38.891355032781895)	(68, 38.85212869215284)	(70, 38.8261843811472)	(72, 38.80833187284878)	(74, 38.783490586817905)	(76, 38.75347367871638)	(78, 38.74608793649334)	(80, 38.71582059120415)	(82, 38.68677574331481)	(84, 38.663166292208004)	(86, 38.660165954141746)	(88, 38.6271991066623)	(90, 38.622276555439996)	(92, 38.57334026704362)	(94, 38.53750392654864)	(96, 38.51068691616531)	(98, 38.48124654032757)	(100, 37.30126516270276)
SRR24630912_2	(1, 33.979228557692494)	(2, 34.11704466880041)	(3, 34.09728191853082)	(4, 34.13652537795425)	(5, 34.100526109633066)	(6, 38.908604552497955)	(7, 38.97942775820888)	(8, 38.991973081114836)	(9, 38.9848542963146)	(10, 38.9780283266965)	(12, 38.9626603181079)	(14, 38.963117856793986)	(16, 38.96095526224556)	(18, 38.951461274653454)	(20, 38.94448578493623)	(22, 38.942742062146735)	(24, 38.920267599078315)	(26, 38.902668401051926)	(28, 38.898479444039026)	(30, 38.87765161745073)	(32, 38.83882236102412)	(34, 38.83462634101213)	(36, 38.79053251661122)	(38, 38.78474504728139)	(40, 38.75945316585167)	(42, 38.72033588271687)	(44, 38.677385306471905)	(46, 38.65831772290825)	(48, 38.63937667476877)	(50, 38.61207554966893)	(52, 38.584859779117274)	(54, 38.54997993629414)	(56, 38.536326799939474)	(58, 38.50638650742118)	(60, 38.484231196141636)	(62, 38.44948794453798)	(64, 38.43225111427789)	(66, 38.39300669715966)	(68, 38.36754267009138)	(70, 38.337137536464226)	(72, 38.29060470285604)	(74, 38.265151210430446)	(76, 38.21941230580344)	(78, 38.18942891701958)	(80, 38.153825056934956)	(82, 38.10990265990151)	(84, 38.05321969805799)	(86, 38.063663599170255)	(88, 38.03966053550462)	(90, 37.990322733567396)	(92, 37.95305475907273)	(94, 37.91646842384507)	(96, 37.85387193609495)	(98, 37.8126140853919)	(100, 36.40674458950328)
SRR24630913_1	(1, 34.68093570297755)	(2, 34.7409413285315)	(3, 34.687378109456965)	(4, 34.677428866909764)	(5, 34.67812377578343)	(6, 38.54923868069713)	(7, 38.92508601913878)	(8, 39.164809610689574)	(9, 39.255196201816325)	(10, 39.29896728171023)	(12, 39.308914930917005)	(14, 39.296128480174175)	(16, 39.296963178115064)	(18, 39.28789600883093)	(20, 39.27509914826394)	(22, 39.26077947913489)	(24, 39.25074228419585)	(26, 39.23149919313241)	(28, 39.215611145904944)	(30, 39.214723549061716)	(32, 39.19152961106347)	(34, 39.17451071702019)	(36, 39.161250088164834)	(38, 39.154597254525726)	(40, 39.12736494209163)	(42, 39.1109385582436)	(44, 39.09361044993385)	(46, 39.08151200358948)	(48, 39.053783737390305)	(50, 39.03283141693427)	(52, 39.00060270757402)	(54, 38.98169517400552)	(56, 38.967497873421635)	(58, 38.94249506914248)	(60, 38.92631586550677)	(62, 38.91083263297169)	(64, 38.88768129027433)	(66, 38.87313865970752)	(68, 38.83573414328847)	(70, 38.80751746513559)	(72, 38.78862289073594)	(74, 38.763902107713214)	(76, 38.72881940697144)	(78, 38.71942018554131)	(80, 38.688017357638216)	(82, 38.66158692033213)	(84, 38.63632291444485)	(86, 38.63021818991428)	(88, 38.59631264908356)	(90, 38.58819585425566)	(92, 38.53950400799475)	(94, 38.50542383705269)	(96, 38.47406179866465)	(98, 38.44794801121372)	(100, 37.27073764438851)
SRR24630913_2	(1, 34.18961770876796)	(2, 34.13131334590444)	(3, 34.05852891764172)	(4, 34.161531578307795)	(5, 34.16420754045173)	(6, 38.953011965774195)	(7, 39.054301254362564)	(8, 39.05264587987658)	(9, 39.05177931512705)	(10, 39.056711022431685)	(12, 39.04250182490591)	(14, 39.03131296350273)	(16, 39.029811080811676)	(18, 39.020563439167965)	(20, 39.021315495851795)	(22, 39.005933493545484)	(24, 38.99139160653753)	(26, 38.971707160174475)	(28, 38.95482030094164)	(30, 38.93800184912469)	(32, 38.909546169907024)	(34, 38.88702802069728)	(36, 38.861111382569106)	(38, 38.846117836660085)	(40, 38.795160154082396)	(42, 38.72440160506741)	(44, 38.68331944648628)	(46, 38.66618020212904)	(48, 38.646398455776946)	(50, 38.614207349250876)	(52, 38.5920616168114)	(54, 38.55532949005458)	(56, 38.539746833076556)	(58, 38.510877204014704)	(60, 38.48275740096008)	(62, 38.45067782826425)	(64, 38.43568969971269)	(66, 38.39811416475395)	(68, 38.36997513539145)	(70, 38.34072830953804)	(72, 38.29522664948975)	(74, 38.26658178765148)	(76, 38.22461872425693)	(78, 38.19438508956273)	(80, 38.160163961103805)	(82, 38.11759553456784)	(84, 38.05845859821733)	(86, 38.06748264108711)	(88, 38.042839081963976)	(90, 37.996143585041466)	(92, 37.959318407203426)	(94, 37.92283473533128)	(96, 37.86121463102909)	(98, 37.82054015515312)	(100, 36.43179068945328)
SRR24630914_1	(1, 34.67408283206255)	(2, 34.73719416379545)	(3, 34.681954688713496)	(4, 34.672662706431574)	(5, 34.67369045630222)	(6, 38.53348977045602)	(7, 38.90999178840336)	(8, 39.15173436951602)	(9, 39.239493598096125)	(10, 39.28744551521371)	(12, 39.297008478104246)	(14, 39.28244740531646)	(16, 39.284199157120284)	(18, 39.276551574631384)	(20, 39.26251134633777)	(22, 39.24877580219102)	(24, 39.23808699548976)	(26, 39.21816248309362)	(28, 39.201046182793434)	(30, 39.199852411789834)	(32, 39.176860045225155)	(34, 39.158751466988114)	(36, 39.13969939772609)	(38, 39.1333914268601)	(40, 39.103524994814435)	(42, 39.0844008374289)	(44, 39.0670474681049)	(46, 39.05198354684802)	(48, 39.018546516187996)	(50, 38.995478316662215)	(52, 38.9618263739341)	(54, 38.94046883702197)	(56, 38.92370018247762)	(58, 38.89754675689784)	(60, 38.87835529645903)	(62, 38.86033087304439)	(64, 38.835685160685784)	(66, 38.81885419620494)	(68, 38.77885350549045)	(70, 38.74845634674034)	(72, 38.727819483016845)	(74, 38.70242064221052)	(76, 38.66642984036382)	(78, 38.65634728125832)	(80, 38.621619633933804)	(82, 38.59570546186642)	(84, 38.56612790243117)	(86, 38.558924083196146)	(88, 38.524376396122264)	(90, 38.517131071604)	(92, 38.4633934844403)	(94, 38.43083649061283)	(96, 38.395663727732)	(98, 38.36550415812202)	(100, 37.18764164067992)
SRR24630914_2	(1, 34.18314419476318)	(2, 34.190884357959035)	(3, 34.139016276936566)	(4, 34.176681021183924)	(5, 34.14488568571201)	(6, 39.0187083763903)	(7, 39.06681019103457)	(8, 39.0768488523217)	(9, 39.06866430173238)	(10, 39.07787587402949)	(12, 39.06057347610596)	(14, 39.050162723595406)	(16, 39.045843573557036)	(18, 39.03736983828752)	(20, 39.035953145424315)	(22, 39.02406214183489)	(24, 39.008336840651125)	(26, 38.99345319171467)	(28, 38.978619890039084)	(30, 38.96037868213756)	(32, 38.93051672309235)	(34, 38.909075239404345)	(36, 38.87921868956899)	(38, 38.86671519698782)	(40, 38.81605513815642)	(42, 38.74902264940186)	(44, 38.70723941599674)	(46, 38.68577369488769)	(48, 38.66361309836003)	(50, 38.63029590250274)	(52, 38.605216309100555)	(54, 38.56750361012746)	(56, 38.550130684429405)	(58, 38.51705627887556)	(60, 38.488171618416864)	(62, 38.45705971580428)	(64, 38.43643034175596)	(66, 38.39655187837933)	(68, 38.3621436865055)	(70, 38.33801715426879)	(72, 38.2900988366662)	(74, 38.258428017044004)	(76, 38.21384322903198)	(78, 38.179812849661204)	(80, 38.14323847729079)	(82, 38.09834161947998)	(84, 38.0389496396322)	(86, 38.048187113722605)	(88, 38.021046611369286)	(90, 37.96961969301901)	(92, 37.93389945568786)	(94, 37.89707927633926)	(96, 37.833403098270566)	(98, 37.79418091768078)	(100, 36.419655237769106)
SRR24630931_1	(1, 31.47431086649333)	(2, 31.54301573956608)	(3, 35.58411955298191)	(4, 36.13064018901236)	(5, 36.34870083769755)	(6, 39.795705375296535)	(7, 39.90174740630289)	(8, 39.97551133566294)	(9, 39.998221174372034)	(10, 40.09698961101538)	(15, 40.102282345384616)	(20, 40.07275661508222)	(25, 39.95041938914439)	(30, 39.8842383932246)	(35, 39.866064504913915)	(40, 39.8499074432752)	(45, 39.823083591753196)	(50, 39.76258021121058)	(55, 39.75632872261645)	(60, 39.7176151775169)	(65, 39.64841710209596)	(70, 39.599762035591255)	(75, 39.44424804478699)	(80, 39.68401087902717)	(85, 39.63965182936628)	(90, 39.616452094642284)	(95, 39.53794767100189)	(100, 39.50818994784007)	(105, 39.464341859475425)	(110, 39.4181451662575)	(115, 39.37648589800767)	(120, 39.28559014317018)	(125, 39.256236598645806)	(130, 39.164921727138754)	(135, 39.134180145431955)	(140, 39.00042486840725)	(145, 38.88240390030095)	(150, 38.01481496050786)																	
SRR24630931_2	(1, 31.270794329171306)	(2, 31.282727856851704)	(3, 34.98274675607261)	(4, 35.581201553573656)	(5, 35.865048114247465)	(6, 39.14859257131021)	(7, 39.20704978032804)	(8, 39.38642738277755)	(9, 39.33988062121881)	(10, 39.341252108417144)	(15, 39.277928260718944)	(20, 39.19100816558996)	(25, 39.153041448826094)	(30, 39.09221997337623)	(35, 39.0506875455966)	(40, 38.96174742736817)	(45, 38.90965586245177)	(50, 38.84418612201863)	(55, 38.762532365545454)	(60, 38.69513214777625)	(65, 38.613377140570314)	(70, 38.51235795188497)	(75, 38.18243735288362)	(80, 38.535458450816165)	(85, 38.49107906857935)	(90, 38.45020811811065)	(95, 38.37258103596214)	(100, 38.320510243244925)	(105, 38.23210210580002)	(110, 38.10430210287835)	(115, 38.0294485581021)	(120, 37.891833672751495)	(125, 37.71435296225253)	(130, 37.552112011977535)	(135, 37.35120048977696)	(140, 37.04125684810545)	(145, 36.783183347766865)	(150, 35.04796825590324)																	
SRR24630932_1	(1, 31.466314805669846)	(2, 31.55571466847308)	(3, 35.585097594710234)	(4, 36.12316312031996)	(5, 36.34028779580729)	(6, 39.765765618284746)	(7, 39.85831996298718)	(8, 39.9454492021685)	(9, 39.97992389268228)	(10, 40.08911243014703)	(15, 40.096538398080504)	(20, 40.068334097285025)	(25, 39.942569571313)	(30, 39.876631570639894)	(35, 39.862675602852256)	(40, 39.84204131515595)	(45, 39.81401207034151)	(50, 39.756711275155006)	(55, 39.74887486070868)	(60, 39.71525297476501)	(65, 39.64791023705759)	(70, 39.59943873140745)	(75, 39.444948568369774)	(80, 39.68987634848436)	(85, 39.6432500363866)	(90, 39.620931056480856)	(95, 39.544275895317554)	(100, 39.51214075564593)	(105, 39.467211703072806)	(110, 39.419042999662295)	(115, 39.37493521184433)	(120, 39.28364692049307)	(125, 39.252301148329494)	(130, 39.159422040754706)	(135, 39.127280710357844)	(140, 38.994217548089644)	(145, 38.87506152837425)	(150, 37.998004777867344)																	
SRR24630932_2	(1, 31.264028140492005)	(2, 31.279477502790115)	(3, 34.93150820364026)	(4, 35.533509051755324)	(5, 35.83226823311555)	(6, 39.07338754483272)	(7, 39.17643095110986)	(8, 39.336540548392456)	(9, 39.30417899688519)	(10, 39.29762722226305)	(15, 39.23228235883502)	(20, 39.148796282819774)	(25, 39.10572457649291)	(30, 39.0401305113539)	(35, 38.98524242622671)	(40, 38.890456074874315)	(45, 38.83728326385328)	(50, 38.76674302371033)	(55, 38.68460488160846)	(60, 38.61289059115564)	(65, 38.52926590294372)	(70, 38.43038938374976)	(75, 38.09098793394768)	(80, 38.450973402185255)	(85, 38.402839627046696)	(90, 38.36222666804302)	(95, 38.28298519916264)	(100, 38.22786479742031)	(105, 38.14101019482341)	(110, 38.01215669712084)	(115, 37.935177044733635)	(120, 37.797915755810344)	(125, 37.623454213081615)	(130, 37.46013616164169)	(135, 37.25443606210398)	(140, 36.94531209118695)	(145, 36.6840423119628)	(150, 34.95810158622679)																	
