Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR24630896_1	(1, 0.013651877133105802)	(2, 0.0)	(3, 0.0)	(4, 0.004445408931589365)	(5, 0.010258635995975459)	(6, 0.023068778893514042)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.00021043355889180425)	(34, 0.0)	(36, 0.00015782516916885322)	(38, 0.0003682587280606575)	(40, 0.0)	(42, 0.0)	(44, 0.0017886852505803361)	(46, 0.001302057645643039)	(48, 0.003143351285946326)	(50, 0.003551066306299197)	(52, 0.005852683356678307)	(54, 0.00034195453319918196)	(56, 0.0002761940460454931)	(58, 0.005931595941262733)	(60, 0.005747466577232404)	(62, 0.006036812720708635)	(64, 0.00518192638771068)	(66, 0.009140707714362747)	(68, 0.015624691747716468)	(70, 0.015440562383686138)	(72, 0.012034169149125057)	(74, 0.017413376998296804)	(76, 0.020754009745704197)	(78, 0.014204265225196787)	(80, 0.01596664628091565)	(82, 0.006299854669323391)	(84, 0.006891699053706589)	(86, 0.0025778110964246024)	(88, 0.001985966712041403)	(90, 9.206468201516437e-05)	(92, 0.0019991188094721406)	(94, 0.001854445737734025)	(96, 0.00294606982448526)	(98, 0.0015650995942577941)	(100, 0.0)
SRR24630896_2	(1, 0.124182103941026)	(2, 0.15627322167202615)	(3, 0.17850026632997298)	(4, 0.18368219271768366)	(5, 0.1952560384567329)	(6, 0.10526938783562509)	(7, 0.09432684277325126)	(8, 0.09948246496610047)	(9, 0.08959208769818566)	(10, 0.08731677484266803)	(12, 0.07930714750734874)	(14, 0.07362544141727001)	(16, 0.07108708661313763)	(18, 0.07445402355540649)	(20, 0.06944307443429541)	(22, 0.06593146442028842)	(24, 0.06518179486673636)	(26, 0.059500088776657654)	(28, 0.05405512044033222)	(30, 0.056751300413633465)	(32, 0.05696173397252527)	(34, 0.054962615163053126)	(36, 0.06044703979167078)	(38, 0.05320023410733427)	(40, 0.05227958728718262)	(42, 0.046216470371612514)	(44, 0.0470845088020412)	(46, 0.04716342138662563)	(48, 0.04590082003327481)	(50, 0.04813667659650023)	(52, 0.04546680081806046)	(54, 0.04942558214471252)	(56, 0.05064872720577115)	(58, 0.0559621745677892)	(60, 0.05642249797786503)	(62, 0.05602793505494289)	(64, 0.06148605548869906)	(66, 0.06103888417605398)	(68, 0.057474665772324046)	(70, 0.059184438438319956)	(72, 0.05619891232154248)	(74, 0.05710640704426338)	(76, 0.06046019188910151)	(78, 0.05640934588043428)	(80, 0.05878987551539782)	(82, 0.054712725311869104)	(84, 0.05659347524446461)	(86, 0.06114410095549988)	(88, 0.056554018952172394)	(90, 0.05651456265988019)	(92, 0.0582243353258761)	(94, 0.060197149940486756)	(96, 0.06290648201121873)	(98, 0.05917128634088921)	(100, 0.0541866414146396)
SRR24630912_1	(1, 0.014221767636428411)	(2, 0.0)	(3, 0.0)	(4, 0.004884243430692586)	(5, 0.009768486861385171)	(6, 0.020327071924794146)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0002035101429455244)	(34, 0.0)	(36, 0.0001915389580663759)	(38, 0.0003591355463744548)	(40, 0.0)	(42, 0.0)	(44, 0.0018196201016305712)	(46, 0.0014963981098935618)	(48, 0.003363902951040727)	(50, 0.003782894421810924)	(52, 0.00620107376739892)	(54, 0.0003950491010119003)	(56, 0.0002873084370995639)	(58, 0.006225016137157218)	(60, 0.005853909405903614)	(62, 0.00667992116256486)	(64, 0.005626456893199792)	(66, 0.009074158138394559)	(68, 0.015538597973134744)	(70, 0.015287203090672628)	(72, 0.012066954358181683)	(74, 0.017082880822544902)	(76, 0.0206622651014103)	(78, 0.013862632090053957)	(80, 0.01557451152777219)	(82, 0.006404583910344444)	(84, 0.007470019364588661)	(86, 0.002885055555874787)	(88, 0.0021428420933675804)	(90, 0.0001915389580663759)	(92, 0.0021907268328841744)	(94, 0.002059043799213541)	(96, 0.0031244792534577573)	(98, 0.0015562540342893044)	(100, 0.0)
SRR24630912_2	(1, 0.12052588936326702)	(2, 0.1534466477809254)	(3, 0.17446804842871014)	(4, 0.1788255597247202)	(5, 0.19098828356193506)	(6, 0.10283247811188558)	(7, 0.09229783541823489)	(8, 0.09734967543723556)	(9, 0.08786849701294995)	(10, 0.08547426003712025)	(12, 0.07817183726083966)	(14, 0.07241369733396924)	(16, 0.06968426718152339)	(18, 0.07329956501502624)	(20, 0.06764916575206814)	(22, 0.06374655948146574)	(24, 0.06257338336330917)	(26, 0.05798841955459531)	(28, 0.05166763393840491)	(30, 0.05395413025032226)	(32, 0.054660430158192025)	(34, 0.05232604910675807)	(36, 0.058096160218507636)	(38, 0.0501353222738739)	(40, 0.04936916644160839)	(42, 0.04302443845565969)	(44, 0.04422155694357454)	(46, 0.044030017985508166)	(48, 0.04297655371614309)	(50, 0.045358819507093646)	(52, 0.04294064016150565)	(54, 0.046113004154480004)	(56, 0.047872768331714825)	(58, 0.05371470655273929)	(60, 0.05367879299810185)	(62, 0.05402595735959716)	(64, 0.05983198202598418)	(66, 0.05875457538686081)	(68, 0.055438557175336675)	(70, 0.05689904173059279)	(72, 0.05396610143520141)	(74, 0.05499562333480818)	(76, 0.057401831495517024)	(78, 0.05384638958640992)	(80, 0.05609697234368984)	(82, 0.05166763393840491)	(84, 0.05347528285515633)	(86, 0.058347555100969756)	(88, 0.05419355394790524)	(90, 0.053535138779552065)	(92, 0.054911825040654144)	(94, 0.05715043661305491)	(96, 0.059628471883038645)	(98, 0.05590543338562347)	(100, 0.050506429005127494)
SRR24630913_1	(1, 0.014573753816581448)	(2, 0.0)	(3, 0.0)	(4, 0.00424890781824532)	(5, 0.009963688833785275)	(6, 0.022115565193966888)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 8.49781563649064e-05)	(34, 0.0)	(36, 0.0001274672345473596)	(38, 0.00020182312136665269)	(40, 0.0)	(42, 0.0)	(44, 0.0015083622754770885)	(46, 0.001380895040929729)	(48, 0.002942368664134884)	(50, 0.003409748524141869)	(52, 0.00547046881599085)	(54, 0.00040364624273330537)	(56, 0.00023368993000349262)	(58, 0.00547046881599085)	(60, 0.005289890233715424)	(62, 0.005640425128720663)	(64, 0.004695043139161079)	(66, 0.008189769819667854)	(68, 0.014616242894763902)	(70, 0.014403797503851637)	(72, 0.0109409376319817)	(74, 0.016347672830698868)	(76, 0.01976804362438635)	(78, 0.013022902462921907)	(80, 0.01490304417249546)	(82, 0.005905981867360995)	(84, 0.006660163005099539)	(86, 0.0028042791600419114)	(88, 0.002018231213666527)	(90, 9.56004259105197e-05)	(92, 0.0017845412836630346)	(94, 0.0018801417095735543)	(96, 0.002517477882310352)	(98, 0.0013596505018385024)	(100, 0.0)
SRR24630913_2	(1, 0.12434428730094928)	(2, 0.155255091678684)	(3, 0.17737065687265088)	(4, 0.18178952100362603)	(5, 0.19419633183290236)	(6, 0.10477806679792959)	(7, 0.09394335186140403)	(8, 0.09961564379876153)	(9, 0.08997062305134465)	(10, 0.08787803595085883)	(12, 0.08072924854666108)	(14, 0.07518442384385093)	(16, 0.07261383461381252)	(18, 0.07556682554749301)	(20, 0.0710736055296986)	(22, 0.06710087671963921)	(24, 0.06643167373826558)	(26, 0.06093996038318351)	(28, 0.05507646759400496)	(30, 0.05747710051131357)	(32, 0.058868617821788906)	(34, 0.05596873823583648)	(36, 0.061927831450925536)	(38, 0.05405672971762609)	(40, 0.05307948091942966)	(42, 0.04684420869615465)	(44, 0.04794892472889844)	(46, 0.047524033947073906)	(48, 0.04668487465297046)	(50, 0.04930857523073694)	(52, 0.046068783019324884)	(54, 0.04985031097756321)	(56, 0.05164547453077186)	(58, 0.05731776646812936)	(60, 0.05765767909358899)	(62, 0.05762581228495215)	(64, 0.06344681599594824)	(66, 0.06280947982321144)	(68, 0.05901732959542749)	(70, 0.06028137967135548)	(72, 0.057445233702676735)	(74, 0.05837999342269069)	(76, 0.06119489485227822)	(78, 0.05762581228495215)	(80, 0.05981399981134849)	(82, 0.05551198064537511)	(84, 0.05727527738994692)	(86, 0.06248018946729743)	(88, 0.05754083412858725)	(90, 0.057009720651306585)	(92, 0.05863492789178542)	(94, 0.06090809357454666)	(96, 0.0631706369877623)	(98, 0.05920853044724853)	(100, 0.054237308299901504)
SRR24630914_1	(1, 0.015686708551981572)	(2, 0.0)	(3, 0.0)	(4, 0.004535414408928359)	(5, 0.009944624254439245)	(6, 0.02248983016537411)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.00011442559288580721)	(34, 0.0)	(36, 0.0001560348993897371)	(38, 0.0002704604922755443)	(40, 0.0)	(42, 0.0)	(44, 0.0018308094861729154)	(46, 0.0015187396873934413)	(48, 0.0032767328871844787)	(50, 0.003817653871735568)	(52, 0.005835705237176168)	(54, 0.0004681046981692113)	(56, 0.00028086281890152677)	(58, 0.006002142463191888)	(60, 0.005596451724778571)	(62, 0.0060541540963217995)	(64, 0.005242772619495167)	(66, 0.008841977632085102)	(68, 0.015281017813568255)	(70, 0.014792108462147078)	(72, 0.011265719735939018)	(74, 0.016664527254823924)	(76, 0.02027413459403984)	(78, 0.013689461839792937)	(80, 0.01546825969283594)	(82, 0.006106165729451712)	(84, 0.007052777452416116)	(86, 0.0030166747215349173)	(88, 0.002070062998570512)	(90, 0.00017683955264170205)	(92, 0.002215695571334267)	(94, 0.002007649038814617)	(96, 0.0028918468020231276)	(98, 0.0016955792400351432)	(100, 0.0)
SRR24630914_2	(1, 0.12491113812479755)	(2, 0.15618053196250087)	(3, 0.17831668302259157)	(4, 0.18254002763274046)	(5, 0.19404500088107707)	(6, 0.10495947565616315)	(7, 0.09351691636758244)	(8, 0.09865566572081778)	(9, 0.08906472057166194)	(10, 0.08675540406069382)	(12, 0.07883923349832117)	(14, 0.07380450741134564)	(16, 0.07106869550871227)	(18, 0.07443904933553058)	(20, 0.06971639304733454)	(22, 0.06602356709511076)	(24, 0.06521218561828412)	(26, 0.0597093548331394)	(28, 0.05443537523376629)	(30, 0.0567967033778643)	(32, 0.05754567089493504)	(34, 0.0550179055248213)	(36, 0.06072878284248568)	(38, 0.05307267044576258)	(40, 0.05239651921507372)	(42, 0.04619673254598817)	(44, 0.047226562881960435)	(46, 0.04717455124883052)	(48, 0.045999088340094495)	(50, 0.048298002524436626)	(52, 0.04574943250107092)	(54, 0.049473465433172645)	(56, 0.05081536556792439)	(58, 0.055652447449006236)	(60, 0.05693193362400208)	(62, 0.05664066847847457)	(64, 0.06213309693699332)	(66, 0.06143614105305249)	(68, 0.058076189552860154)	(70, 0.05937648038110797)	(72, 0.05625578239331322)	(74, 0.05697354293050601)	(76, 0.060437517696958175)	(78, 0.05642221961932893)	(80, 0.0590540082557025)	(82, 0.05480985899230166)	(84, 0.05639101263945099)	(86, 0.06139453174654856)	(88, 0.056557449865466715)	(90, 0.0566822777849785)	(92, 0.05812820118599007)	(94, 0.060271080470942456)	(96, 0.06254919000203261)	(98, 0.05878354776342696)	(100, 0.053499165837427864)
SRR24630931_1	(1, 0.1857179315780428)	(2, 0.0)	(3, 0.0)	(4, 0.06974897832240587)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 5.0373498886905955e-05)	(20, 0.0005174732158382157)	(25, 0.0003462033196227355)	(30, 0.0006090613956325902)	(35, 6.136408046223089e-05)	(40, 0.0002637739578077985)	(45, 0.0004954920526875658)	(50, 7.418642563344331e-05)	(55, 0.0002830074755646171)	(60, 3.2055862928031064e-05)	(65, 0.00013188697890389924)	(70, 0.0)	(75, 0.0002830074755646171)	(80, 0.0014003832690559854)	(85, 0.0007546866015056455)	(90, 0.0018015394965553457)	(95, 0.0001025787613696994)	(100, 0.0005999025776531528)	(105, 0.00020882104993117376)	(110, 0.00045336148998215354)	(115, 0.0005907437596737152)	(120, 5.495290787662468e-05)	(125, 0.011012562738475585)	(130, 0.008079909221459715)	(135, 0.004235953315489819)	(140, 0.0034125755791383928)	(145, 0.006610834817557949)	(150, 0.007432380790313488)																	
SRR24630931_2	(1, 0.11437531892721482)	(2, 0.0006182202136120276)	(3, 0.015972978556138905)	(4, 0.01179197814852571)	(5, 0.004538194308811255)	(6, 0.011430204838337933)	(7, 0.014617473495182165)	(8, 0.011086749164109028)	(9, 0.01806576846444036)	(10, 0.007198830931837832)	(15, 0.008393140796356476)	(20, 0.009175303851800433)	(25, 0.010040812150857273)	(30, 0.011132543254006215)	(35, 0.010889834577551124)	(40, 0.014241961958025228)	(45, 0.009573712433905961)	(50, 0.01020658675628509)	(55, 0.01154194241768707)	(60, 0.012276479619637954)	(65, 0.012103377959826585)	(70, 0.01134136430393739)	(75, 0.011022637438252967)	(80, 0.010728639381113025)	(85, 0.012421188943713066)	(90, 0.012602533539705927)	(95, 0.012113452659603967)	(100, 0.013686021706673377)	(105, 0.010624228856147437)	(110, 0.01037510900710674)	(115, 0.01008935388614829)	(120, 0.011157272062550698)	(125, 0.011168262644126022)	(130, 0.010139727385035198)	(135, 0.012623598821058632)	(140, 0.012970718022479311)	(145, 0.008814446423410598)	(150, 0.009161107683932307)																	
