Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR24630914_1	(15.0, 12.0)	(16.0, 162.0)	(17.0, 314.0)	(18.0, 288.0)	(19.0, 325.0)	(20.0, 384.0)	(21.0, 483.0)	(22.0, 672.0)	(23.0, 1209.0)	(24.0, 2238.0)	(25.0, 3862.0)	(26.0, 5976.0)	(27.0, 8179.0)	(28.0, 11046.0)	(29.0, 14491.0)	(30.0, 18991.0)	(31.0, 24891.0)	(32.0, 33227.0)	(33.0, 44413.0)	(34.0, 59614.0)	(35.0, 81571.0)	(36.0, 119075.0)	(37.0, 222184.0)	(38.0, 906501.0)	(39.0, 3246509.0)														
SRR24630914_2	(2.0, 2075.0)	(3.0, 113.0)	(4.0, 79.0)	(5.0, 71.0)	(6.0, 53.0)	(7.0, 33.0)	(8.0, 64.0)	(9.0, 32.0)	(10.0, 32.0)	(11.0, 36.0)	(12.0, 43.0)	(13.0, 43.0)	(14.0, 27.0)	(15.0, 47.0)	(16.0, 282.0)	(17.0, 492.0)	(18.0, 467.0)	(19.0, 976.0)	(20.0, 1975.0)	(21.0, 3080.0)	(22.0, 4212.0)	(23.0, 5262.0)	(24.0, 6979.0)	(25.0, 8858.0)	(26.0, 11220.0)	(27.0, 14284.0)	(28.0, 18381.0)	(29.0, 23732.0)	(30.0, 29906.0)	(31.0, 36869.0)	(32.0, 45469.0)	(33.0, 55223.0)	(34.0, 67068.0)	(35.0, 86609.0)	(36.0, 126992.0)	(37.0, 266946.0)	(38.0, 1312153.0)	(39.0, 2676434.0)	
SRR24630931_1	(13.0, 2.0)	(14.0, 3.0)	(15.0, 10.0)	(16.0, 37.0)	(17.0, 123.0)	(18.0, 231.0)	(19.0, 717.0)	(20.0, 2221.0)	(21.0, 5118.0)	(22.0, 9867.0)	(23.0, 16420.0)	(24.0, 25990.0)	(25.0, 37161.0)	(26.0, 50883.0)	(27.0, 67812.0)	(28.0, 90240.0)	(29.0, 117342.0)	(30.0, 149329.0)	(31.0, 187369.0)	(32.0, 232305.0)	(33.0, 286633.0)	(34.0, 352819.0)	(35.0, 439180.0)	(36.0, 560824.0)	(37.0, 756415.0)	(38.0, 1152130.0)	(39.0, 2385298.0)	(40.0, 14910400.0)											
SRR24630931_2	(5.0, 1.0)	(6.0, 11.0)	(7.0, 61.0)	(8.0, 110.0)	(9.0, 158.0)	(10.0, 311.0)	(11.0, 620.0)	(12.0, 622.0)	(13.0, 1118.0)	(14.0, 2039.0)	(15.0, 2781.0)	(16.0, 7701.0)	(17.0, 21601.0)	(18.0, 39352.0)	(19.0, 53912.0)	(20.0, 66261.0)	(21.0, 78590.0)	(22.0, 92099.0)	(23.0, 107272.0)	(24.0, 123540.0)	(25.0, 141526.0)	(26.0, 161093.0)	(27.0, 184152.0)	(28.0, 209307.0)	(29.0, 237710.0)	(30.0, 268894.0)	(31.0, 302616.0)	(32.0, 342881.0)	(33.0, 393387.0)	(34.0, 460755.0)	(35.0, 555600.0)	(36.0, 702667.0)	(37.0, 945315.0)	(38.0, 1424873.0)	(39.0, 2752211.0)	(40.0, 12155732.0)			
SRR24630932_1	(14.0, 1.0)	(15.0, 9.0)	(16.0, 20.0)	(17.0, 91.0)	(18.0, 184.0)	(19.0, 424.0)	(20.0, 1406.0)	(21.0, 3308.0)	(22.0, 6096.0)	(23.0, 9794.0)	(24.0, 14834.0)	(25.0, 21236.0)	(26.0, 30081.0)	(27.0, 41446.0)	(28.0, 55784.0)	(29.0, 74284.0)	(30.0, 96291.0)	(31.0, 120642.0)	(32.0, 150695.0)	(33.0, 185529.0)	(34.0, 229565.0)	(35.0, 287467.0)	(36.0, 366554.0)	(37.0, 493120.0)	(38.0, 751807.0)	(39.0, 1549776.0)	(40.0, 9498224.0)												
SRR24630932_2	(5.0, 1.0)	(6.0, 7.0)	(7.0, 30.0)	(8.0, 57.0)	(9.0, 102.0)	(10.0, 191.0)	(11.0, 373.0)	(12.0, 411.0)	(13.0, 687.0)	(14.0, 1300.0)	(15.0, 1903.0)	(16.0, 5456.0)	(17.0, 15445.0)	(18.0, 27717.0)	(19.0, 37562.0)	(20.0, 45633.0)	(21.0, 53266.0)	(22.0, 62317.0)	(23.0, 72131.0)	(24.0, 83014.0)	(25.0, 94884.0)	(26.0, 108628.0)	(27.0, 123282.0)	(28.0, 139187.0)	(29.0, 157844.0)	(30.0, 177894.0)	(31.0, 199198.0)	(32.0, 224736.0)	(33.0, 257223.0)	(34.0, 298723.0)	(35.0, 360042.0)	(36.0, 454431.0)	(37.0, 609336.0)	(38.0, 918676.0)	(39.0, 1764775.0)	(40.0, 7692206.0)			
SRR24630933_1	(15.0, 8.0)	(16.0, 30.0)	(17.0, 70.0)	(18.0, 219.0)	(19.0, 697.0)	(20.0, 2236.0)	(21.0, 5323.0)	(22.0, 9916.0)	(23.0, 16594.0)	(24.0, 25186.0)	(25.0, 35637.0)	(26.0, 48403.0)	(27.0, 64134.0)	(28.0, 83708.0)	(29.0, 107917.0)	(30.0, 136872.0)	(31.0, 171595.0)	(32.0, 211472.0)	(33.0, 260299.0)	(34.0, 319165.0)	(35.0, 398209.0)	(36.0, 506580.0)	(37.0, 680671.0)	(38.0, 1037907.0)	(39.0, 2149333.0)	(40.0, 12977629.0)													
SRR24630933_2	(6.0, 13.0)	(7.0, 45.0)	(8.0, 84.0)	(9.0, 152.0)	(10.0, 289.0)	(11.0, 540.0)	(12.0, 505.0)	(13.0, 1028.0)	(14.0, 1878.0)	(15.0, 2612.0)	(16.0, 8021.0)	(17.0, 23312.0)	(18.0, 42227.0)	(19.0, 56837.0)	(20.0, 69038.0)	(21.0, 80415.0)	(22.0, 93471.0)	(23.0, 106945.0)	(24.0, 121945.0)	(25.0, 139197.0)	(26.0, 157305.0)	(27.0, 177269.0)	(28.0, 199521.0)	(29.0, 227424.0)	(30.0, 255102.0)	(31.0, 285166.0)	(32.0, 320039.0)	(33.0, 365025.0)	(34.0, 424910.0)	(35.0, 509311.0)	(36.0, 639115.0)	(37.0, 858689.0)	(38.0, 1284840.0)	(39.0, 2459981.0)	(40.0, 10337559.0)				
SRR24630947_1	(2.0, 946.0)	(3.0, 303.0)	(4.0, 110.0)	(5.0, 124.0)	(6.0, 184.0)	(7.0, 313.0)	(8.0, 521.0)	(9.0, 845.0)	(10.0, 890.0)	(11.0, 1006.0)	(12.0, 1023.0)	(13.0, 979.0)	(14.0, 1035.0)	(15.0, 993.0)	(16.0, 1025.0)	(17.0, 1129.0)	(18.0, 1219.0)	(19.0, 1558.0)	(20.0, 1766.0)	(21.0, 2149.0)	(22.0, 2751.0)	(23.0, 3710.0)	(24.0, 4866.0)	(25.0, 6496.0)	(26.0, 8692.0)	(27.0, 11891.0)	(28.0, 15963.0)	(29.0, 21223.0)	(30.0, 27751.0)	(31.0, 36011.0)	(32.0, 44595.0)	(33.0, 55044.0)	(34.0, 69202.0)	(35.0, 92384.0)	(36.0, 132680.0)	(37.0, 234604.0)	(38.0, 715391.0)	(39.0, 1870545.0)	
SRR24630947_2	(2.0, 942.0)	(3.0, 134.0)	(4.0, 101.0)	(5.0, 107.0)	(6.0, 124.0)	(7.0, 122.0)	(8.0, 147.0)	(9.0, 189.0)	(10.0, 262.0)	(11.0, 341.0)	(12.0, 506.0)	(13.0, 653.0)	(14.0, 695.0)	(15.0, 951.0)	(16.0, 1194.0)	(17.0, 1482.0)	(18.0, 1768.0)	(19.0, 2425.0)	(20.0, 3671.0)	(21.0, 5086.0)	(22.0, 6324.0)	(23.0, 7886.0)	(24.0, 9750.0)	(25.0, 12386.0)	(26.0, 15237.0)	(27.0, 18943.0)	(28.0, 24097.0)	(29.0, 28356.0)	(30.0, 33257.0)	(31.0, 37717.0)	(32.0, 43687.0)	(33.0, 51891.0)	(34.0, 64818.0)	(35.0, 86586.0)	(36.0, 132724.0)	(37.0, 259950.0)	(38.0, 862372.0)	(39.0, 1655036.0)	
