Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR24630933_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.0389712937426395e-05)	(4, 1.0389712937426395e-05)	(5, 1.0389712937426395e-05)	(6, 1.0389712937426395e-05)	(7, 1.0389712937426395e-05)	(8, 1.0389712937426395e-05)	(9, 1.0389712937426395e-05)	(10, 4.259782304344822e-05)	(15, 0.00015584569406139592)	(20, 0.00044675765630933505)	(25, 0.0009787109587055666)	(30, 0.0017745629697124281)	(35, 0.0026888577082059507)	(40, 0.003902376179297354)	(45, 0.005064985056995368)	(50, 0.006251490274449462)	(55, 0.007779817047544884)	(60, 0.009217753318084698)	(65, 0.01060789690911235)	(70, 0.012047911122239647)	(75, 0.013705070335759156)	(80, 0.015535737755333689)	(85, 0.01804693137230965)	(90, 0.02275658824684504)	(95, 0.035015410541714434)	(100, 0.06790508581643144)	(105, 0.15454801891551137)	(110, 0.3481862937867958)	(115, 0.743672794692519)	(120, 1.4318281583038999)	(125, 2.524469592167404)	(130, 4.053867544666675)	(135, 6.054132482346579)	(140, 7.457486593374169)
SRR24630933_2 - illumina_universal_adapter	(1, 0.0)	(2, 1.0389712937426395e-05)	(3, 6.233827762455838e-05)	(4, 0.00010909198584297715)	(5, 0.00010909198584297715)	(6, 0.0001870148328736751)	(7, 0.0001922096893423883)	(8, 0.0001974045458111015)	(9, 0.0002233788281546675)	(10, 0.00044260177113436447)	(15, 0.0007168901926824213)	(20, 0.001478456150995776)	(25, 0.0029963932111537724)	(30, 0.005262389602806469)	(35, 0.007870207550100494)	(40, 0.011071278106121568)	(45, 0.01431182957130486)	(50, 0.017853682711673518)	(55, 0.022299440877598272)	(60, 0.02629324653074498)	(65, 0.02998886742258755)	(70, 0.0336668258024365)	(75, 0.037586864493727466)	(80, 0.041540150266418205)	(85, 0.04607525996360483)	(90, 0.05303636763168053)	(95, 0.06724637801619861)	(100, 0.1022534767875631)	(105, 0.1927509933864282)	(110, 0.39434363248260634)	(115, 0.8047040464295492)	(120, 1.514152087734892)	(125, 2.6393673495998144)	(130, 4.208521538654148)	(135, 6.255169271800604)	(140, 7.689956420349084)
SRR24630947_1 - illumina_universal_adapter	(1, 0.008956329589370083)	(2, 0.008956329589370083)	(3, 0.008956329589370083)	(4, 0.008956329589370083)	(5, 0.008956329589370083)	(6, 0.008956329589370083)	(7, 0.008956329589370083)	(8, 0.008956329589370083)	(9, 0.008956329589370083)	(10, 0.008985986309864686)	(15, 0.009051231094952813)	(20, 0.009104613191843096)	(25, 0.009306278891206396)	(30, 0.009484219214174014)	(35, 0.009644365504844871)	(40, 0.009881619268801694)	(45, 0.010124804376857437)	(50, 0.010492547710990513)	(55, 0.01088401642151927)	(60, 0.01136445529353184)	(65, 0.012034697176709866)	(70, 0.013043025673526365)	(75, 0.014371646751684574)	(80, 0.016999232187506395)	(85, 0.024300716773277633)	(90, 0.0453569883244457)	(95, 0.09940932709790899)	(100, 0.23476853077937565)	(105, 0.5366917394467301)	(110, 1.116563663933602)	(115, 2.1078810658743974)	(120, 3.5880242603836336)	(125, 5.60144867148272)	(130, 8.116083521628795)	(135, 11.062431252014802)	(140, 12.955597661508275)
SRR24630947_2 - illumina_universal_adapter	(1, 0.006257568024361217)	(2, 0.006257568024361217)	(3, 0.006316881465350422)	(4, 0.006316881465350422)	(5, 0.006316881465350422)	(6, 0.006405851626834231)	(7, 0.006405851626834231)	(8, 0.006405851626834231)	(9, 0.006405851626834231)	(10, 0.006429577003229913)	(15, 0.006666830767186738)	(20, 0.006915947219341402)	(25, 0.0072125144242874304)	(30, 0.007586189102519428)	(35, 0.007888687651564379)	(40, 0.008499616093753198)	(45, 0.009525738622866459)	(50, 0.010474753678693752)	(55, 0.011257691099751268)	(60, 0.012034697176709866)	(65, 0.013114201802713412)	(70, 0.01430047062249753)	(75, 0.015694336485743865)	(80, 0.018345647297961364)	(85, 0.025641200539633684)	(90, 0.04672712881129636)	(95, 0.10135480796235494)	(100, 0.2379833192809906)	(105, 0.5426468089220464)	(110, 1.1264808712669976)	(115, 2.1232313844024038)	(120, 3.6096677350005946)	(125, 5.620761127868805)	(130, 8.134452894303152)	(135, 11.084323843083919)	(140, 12.983830859419138)
SRR24630948_1 - illumina_universal_adapter	(1, 0.010493377064706468)	(2, 0.010493377064706468)	(3, 0.010520283159744176)	(4, 0.010520283159744176)	(5, 0.010520283159744176)	(6, 0.010520283159744176)	(7, 0.010520283159744176)	(8, 0.010520283159744176)	(9, 0.010520283159744176)	(10, 0.010547189254781885)	(15, 0.010601001444857304)	(20, 0.01064943241592518)	(25, 0.010789344110121266)	(30, 0.01095078068034752)	(35, 0.01119831675469444)	(40, 0.011483521362094155)	(45, 0.011881731568652246)	(50, 0.012339135184293299)	(55, 0.012688914419783514)	(60, 0.013366948014733778)	(65, 0.013921213572510579)	(70, 0.014895214212875641)	(75, 0.016326618468881757)	(80, 0.019598399625467156)	(85, 0.027417310843425358)	(90, 0.051998719269876204)	(95, 0.12284246750416372)	(100, 0.30149355733554317)	(105, 0.6973629336253542)	(110, 1.4568251345977403)	(115, 2.747628900374802)	(120, 4.653861159168386)	(125, 7.212759946510682)	(130, 10.317454252911912)	(135, 13.888032976110079)	(140, 16.152482221797705)
SRR24630948_2 - illumina_universal_adapter	(1, 0.00729155175521911)	(2, 0.0073184578502568185)	(3, 0.0073184578502568185)	(4, 0.007372270040332237)	(5, 0.007372270040332237)	(6, 0.007479894420483072)	(7, 0.007506800515520781)	(8, 0.007506800515520781)	(9, 0.0075337066105584894)	(10, 0.007565993924603741)	(15, 0.007673618304754576)	(20, 0.007878104627041162)	(25, 0.008190215329478587)	(30, 0.008583044317029137)	(35, 0.009029685494655106)	(40, 0.009686194213575201)	(45, 0.010461089750661217)	(50, 0.011241366506754774)	(55, 0.011865587911629621)	(60, 0.012753489047874014)	(65, 0.013539147022975115)	(70, 0.014631534481506095)	(75, 0.01617056311766304)	(80, 0.01975445497668587)	(85, 0.027750946421892953)	(90, 0.05258527214169826)	(95, 0.12413396006597374)	(100, 0.304361747066563)	(105, 0.7030885506493786)	(110, 1.4676898157739673)	(115, 2.7660488130376173)	(120, 4.6787654407352885)	(125, 7.234435496673062)	(130, 10.334636485202994)	(135, 13.906528225839)	(140, 16.17683223780683)
SRR24630949_1 - illumina_universal_adapter	(1, 0.008149025735535052)	(2, 0.008149025735535052)	(3, 0.008149025735535052)	(4, 0.008177518832512448)	(5, 0.008177518832512448)	(6, 0.008177518832512448)	(7, 0.008177518832512448)	(8, 0.008177518832512448)	(9, 0.008177518832512448)	(10, 0.008177518832512448)	(15, 0.008188916071303407)	(20, 0.00821171054888532)	(25, 0.00840546360833161)	(30, 0.008673298719919124)	(35, 0.00894683245090212)	(40, 0.009260256517653468)	(45, 0.009733241927478231)	(50, 0.01021192595669847)	(55, 0.010884363045365001)	(60, 0.011459923604308383)	(65, 0.012092470357206559)	(70, 0.013192303900534016)	(75, 0.014879095241595818)	(80, 0.018229883446137508)	(85, 0.02882931552172855)	(90, 0.06037687249510061)	(95, 0.1456852048454221)	(100, 0.3574060112456555)	(105, 0.8185382927278209)	(110, 1.689110679155761)	(115, 3.1214016780154674)	(120, 5.20070822441847)	(125, 7.9343701401461475)	(130, 11.201382940954895)	(135, 14.886571830242687)	(140, 17.213848101020567)
SRR24630949_2 - illumina_universal_adapter	(1, 0.005100264358953757)	(2, 0.005100264358953757)	(3, 0.005157250552908547)	(4, 0.005242729843840732)	(5, 0.005242729843840732)	(6, 0.005299716037795523)	(7, 0.005299716037795523)	(8, 0.005299716037795523)	(9, 0.005299716037795523)	(10, 0.005385195328727709)	(15, 0.005556153910592081)	(20, 0.0057157152536654945)	(25, 0.006074728275580675)	(30, 0.006621795737546664)	(35, 0.007094781147371426)	(40, 0.007721629280874123)	(45, 0.008895544876342807)	(50, 0.009921296367529038)	(55, 0.010798883754432814)	(60, 0.01160808770859084)	(65, 0.012485675095494616)	(70, 0.01372797412370905)	(75, 0.015483148897516596)	(80, 0.01886243019903568)	(85, 0.029416273319462893)	(90, 0.06097522753162591)	(95, 0.14698449006759132)	(100, 0.35999318445120304)	(105, 0.8247554864882887)	(110, 1.7013969025724136)	(115, 3.142361200152039)	(120, 5.2306601679611076)	(125, 7.963216551526062)	(130, 11.224485143984166)	(135, 14.904625056487566)	(140, 17.23547436162641)
SRR24630967_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 7.868366426152562e-06)	(15, 2.3605099278457683e-05)	(20, 3.409625451332777e-05)	(25, 6.294693140922049e-05)	(30, 7.868366426152562e-05)	(35, 7.868366426152562e-05)	(40, 7.868366426152562e-05)	(45, 8.91748194963957e-05)	(50, 0.00013113944043587604)	(55, 0.0001678584837579213)	(60, 0.00021244589350611913)	(65, 0.00030162071300251483)	(70, 0.0007160213447798831)	(75, 0.001833329377293547)	(80, 0.005657355460403692)	(85, 0.02024268402568182)	(90, 0.06575593822335696)	(95, 0.19382147017541604)	(100, 0.5015926229343736)	(105, 1.1469796423066851)	(110, 2.2736405397122352)	(115, 4.0289393271576275)	(120, 6.413156643045395)	(125, 9.379696021399859)	(130, 12.75839092431143)	(135, 16.431779754981694)	(140, 18.697638480298462)
SRR24630967_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.3113944043587603e-05)	(4, 7.868366426152562e-05)	(5, 9.179760830511322e-05)	(6, 9.179760830511322e-05)	(7, 0.00010491155234870082)	(8, 0.00013113944043587604)	(9, 0.00017048127256663882)	(10, 0.00026227888087175207)	(15, 0.0004091550541599332)	(20, 0.0005901274819614422)	(25, 0.0006766795126491203)	(30, 0.0007763454873803861)	(35, 0.0008996165613901095)	(40, 0.001083211778000336)	(45, 0.0013586046029156755)	(50, 0.001754645713032021)	(55, 0.0019723371841555756)	(60, 0.0020956082581652987)	(65, 0.0022477300090709153)	(70, 0.0026385255415698255)	(75, 0.003669281543395811)	(80, 0.007495930415314674)	(85, 0.022144205912002023)	(90, 0.06831840288947397)	(95, 0.19671178344262277)	(100, 0.50419705222143)	(105, 1.1434178951044467)	(110, 2.25673928862886)	(115, 4.0030602699820115)	(120, 6.394209616691218)	(125, 9.376055590533358)	(130, 12.772984121243136)	(135, 16.469010242121435)	(140, 18.753110463602837)
SRR24630968_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.2472328580004188e-05)	(5, 1.2472328580004188e-05)	(6, 2.4944657160008377e-05)	(7, 2.4944657160008377e-05)	(8, 2.4944657160008377e-05)	(9, 2.4944657160008377e-05)	(10, 2.494465716000838e-05)	(15, 3.741698574001257e-05)	(20, 4.4900382888015077e-05)	(25, 9.478969720803183e-05)	(30, 0.0001571513401080528)	(35, 0.00019706279156406618)	(40, 0.00023198531158807797)	(45, 0.00029684142020409965)	(50, 0.0003118082145001047)	(55, 0.0003467307345241164)	(60, 0.000461476157460155)	(65, 0.0006136385661362061)	(70, 0.0009952918206843342)	(75, 0.002215085555808744)	(80, 0.006410776890122152)	(85, 0.020507002651242886)	(90, 0.06291291982325713)	(95, 0.1834754368090096)	(100, 0.4720452086988505)	(105, 1.075174590773545)	(110, 2.130074164207435)	(115, 3.7840171848732114)	(120, 6.038492848803324)	(125, 8.860362178960703)	(130, 12.11298582681997)	(135, 15.658741624363646)	(140, 17.860337109580257)
SRR24630968_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 2.4944657160008377e-05)	(4, 7.483397148002513e-05)	(5, 7.483397148002513e-05)	(6, 8.730630006002932e-05)	(7, 9.977862864003351e-05)	(8, 0.00013719561438004608)	(9, 0.00017461260012005864)	(10, 0.0002419631744520813)	(15, 0.0003467307345241164)	(20, 0.0005188488689281742)	(25, 0.0006585389490242211)	(30, 0.0008356460148602807)	(35, 0.00098281949210433)	(40, 0.0012023324751124036)	(45, 0.0014318233209844808)	(50, 0.0017585983297805905)	(55, 0.0020255061613926803)	(60, 0.0021726796386367297)	(65, 0.0023472922387567886)	(70, 0.0027513956847489236)	(75, 0.003908827776973313)	(80, 0.0080396630026707)	(85, 0.02182657501500733)	(90, 0.06378099389242542)	(95, 0.18320603451168152)	(100, 0.46791187900743714)	(105, 1.0546027320136862)	(110, 2.0841710061015877)	(115, 3.70420924875548)	(120, 5.9330143660022285)	(125, 8.732727851670088)	(130, 11.96585724995881)	(135, 15.488953320938332)	(140, 17.678715060798236)
SRR24630969_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 4.4465669390633576e-05)	(7, 4.4465669390633576e-05)	(8, 4.4465669390633576e-05)	(9, 5.928755918751143e-05)	(10, 7.410944898438929e-05)	(15, 9.486009470001829e-05)	(20, 0.00012746825225314957)	(25, 0.00017193392164378316)	(30, 0.0002193639689937923)	(35, 0.00025790088246567473)	(40, 0.0002816159061406793)	(45, 0.00031422406369381063)	(50, 0.00034683222124694187)	(55, 0.0003883335126781999)	(60, 0.0004861579853375937)	(65, 0.0006699494188188791)	(70, 0.0009397078131220561)	(75, 0.0016511585233721932)	(80, 0.004259811127622697)	(85, 0.012604535083264931)	(90, 0.03954480197807013)	(95, 0.11724707704922259)	(100, 0.3114375484119975)	(105, 0.7398761305025895)	(110, 1.542502213649241)	(115, 2.8874316006840597)	(120, 4.8441997054001185)	(125, 7.409355991852704)	(130, 10.477860691429301)	(135, 13.933527974390145)	(140, 16.109274678965278)
SRR24630969_2 - illumina_universal_adapter	(1, 1.4821889796877857e-05)	(2, 1.4821889796877857e-05)	(3, 2.9643779593755715e-05)	(4, 8.893133878126715e-05)	(5, 8.893133878126715e-05)	(6, 0.00011857511837502286)	(7, 0.00011857511837502286)	(8, 0.00011857511837502286)	(9, 0.00014821889796877858)	(10, 0.0001956489453187877)	(15, 0.000290509040018806)	(20, 0.0004594785837032136)	(25, 0.0005869468359563631)	(30, 0.0007825957812751508)	(35, 0.0009100640335283005)	(40, 0.0011234992466033415)	(45, 0.001520725893159668)	(50, 0.002110637107075407)	(55, 0.002407074903012964)	(60, 0.0026116169822098787)	(65, 0.0027983727936505393)	(70, 0.0031185256132631014)	(75, 0.003868513236985121)	(80, 0.006450486439601244)	(85, 0.014863391088309117)	(90, 0.04215049020436125)	(95, 0.12031224385921695)	(100, 0.3149859088293701)	(105, 0.7383316895857549)	(110, 1.5328175908559611)	(115, 2.8696957273531156)	(120, 4.831947931294019)	(125, 7.4084785359767285)	(130, 10.49372307788992)	(135, 13.97555988947613)	(140, 16.16869563516096)
SRR24630977_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 5.51900197900373e-06)	(5, 5.51900197900373e-06)	(6, 5.51900197900373e-06)	(7, 5.51900197900373e-06)	(8, 5.51900197900373e-06)	(9, 5.51900197900373e-06)	(10, 4.856721741523282e-05)	(15, 0.00015342825501630367)	(20, 0.00045255816227830585)	(25, 0.001028741968886295)	(30, 0.0018014022459468173)	(35, 0.0025773739241947416)	(40, 0.0036237766994138493)	(45, 0.0047264732948187945)	(50, 0.005913058720304595)	(55, 0.007255280001598303)	(60, 0.008691324316535073)	(65, 0.0100622444081196)	(70, 0.011667170183613886)	(75, 0.013532592852517145)	(80, 0.016597846551655818)	(85, 0.024142322256953917)	(90, 0.045202833808832145)	(95, 0.10589419477154036)	(100, 0.25336413525131163)	(105, 0.584046176827278)	(110, 1.2074704327747479)	(115, 2.257806048804093)	(120, 3.8065428651501407)	(125, 5.899220374742443)	(130, 8.488488852002332)	(135, 11.497745653261637)	(140, 13.468986354709127)
