""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CaT2T03g04733"	1169.71886119369	2.36147626428079	0.0797567999776439	29.6084630394239	1.16277225964084e-192	2.90376664295342e-191
"CaT2T02g02454"	581.346324684939	1.18841432827466	0.109191041715889	10.8838079534662	1.37688196212346e-27	7.53283708339078e-27
"CaT2T08g00592"	405.386274230134	1.50930853707208	0.115129676428217	13.1096393553501	2.89974029278821e-39	2.00620931300896e-38
"CaT2T04g01382"	146.46889911346	1.11247508724957	0.200483222152901	5.54896851369004	2.87359919200489e-08	8.06127360068008e-08
"CaT2T05g00131"	1337.22918303326	1.84524036143416	0.0750172616732964	24.5975435556455	1.34199717803068e-133	2.45831918191149e-132
"CaT2T03g03176"	950.641326978126	2.77660592090297	0.0962799451409289	28.838881418542	6.98536057071979e-183	1.65014534460183e-181
"CaT2T03g03177"	759.114845517801	2.45661424728604	0.0988353449634278	24.8556247584816	2.24800691681423e-136	4.19330965021597e-135
"CaT2T02g03433"	241.265657552546	1.38979962439234	0.145069875359042	9.58020830274133	9.68494081239588e-22	4.58044546795997e-21
"CaT2T02g03434"	220.133286386334	3.63965488608613	0.225354571345496	16.1507923462804	1.12112275312239e-58	1.03616355153884e-57
"CaT2T02g03439"	114.869037650822	1.08293145534884	0.212519834222374	5.09567240776073	3.47505597400543e-07	9.15788261347735e-07
"CaT2T11g02055"	114.081691871701	2.00478045235382	0.23898319104053	8.38879271644601	4.91159821462428e-17	2.01367847284853e-16
"CaT2T11g02054"	2751.26877793822	1.45739494674784	0.0726149182052353	20.0701864405979	1.34499092819595e-89	1.75211557750438e-88
"CaT2T11g02056"	280.89246451287	1.0078224419614	0.155808960457457	6.46832145598311	9.90975138480679e-11	3.17053314743121e-10
"CaT2T03g00665"	951.760488204598	1.11806142308888	0.079925531601296	13.9887893228696	1.82492083667404e-44	1.36831789040654e-43
"CaT2T02g01059"	1074.69074897838	3.35516635625378	0.0974100535449405	34.4437379321002	5.58800933660747e-260	1.88891181166538e-258
"CaT2T03g00081"	7941.47879399905	3.79813117582424	0.0496432383076714	76.5085297676344	0	0
"CaT2T03g00080"	1048.05466485189	2.26359676579549	0.0939045622511132	24.1052906433058	2.19995536353626e-128	3.89019081866167e-127
"CaT2T12g01718"	417.271139378429	2.79960320253058	0.355901368154661	7.86623332482941	3.65478604375145e-15	1.40401000069188e-14
"CaT2T12g01712"	270.577124420816	1.08275414111073	0.165398240311576	6.54634619492354	5.89618122064716e-11	1.9070379965635e-10
"CaT2T09g02193"	28.0945588346408	1.2471054950446	0.475792722542039	2.62111090808963	0.00876437441255616	0.0149271682604128
"CaT2T09g02196"	86.3116997437222	3.16309277369919	0.321474760269956	9.83931917716655	7.6224902170359e-23	3.71313184537404e-22
"CaT2T02g00868"	807.094994682393	5.31415306717961	0.163927031951917	32.4177959175053	1.54091613548484e-230	4.54718901395887e-229
"CaT2T12g00040"	5726.86160199051	4.50070678450885	0.0572678290011193	78.5904907347	0	0
"CaT2T12g02197"	1043.9793664523	1.46248842142456	0.0750587547732116	19.4845814567993	1.48387786259873e-84	1.83287874616417e-83
"CaT2T12g02192"	217.248227679201	3.53979133899889	0.209991307155948	16.8568470140057	9.34426940618144e-64	9.22118628765916e-63
"CaT2T06g02741"	519.62418586294	1.30919514486137	0.099975371181133	13.0951766359477	3.50857141499309e-39	2.42377976372594e-38
"CaT2T01g00618"	785.027532078063	1.1045739418883	0.0826495774778254	13.3645443279447	9.7429815429602e-41	6.91808225226439e-40
"CaT2T11g01975"	45.4870463448995	3.13347357995124	0.4212061773684	7.43928685834683	1.01230288239325e-13	3.71319332660435e-13
"CaT2T10g02484"	1074.59089913774	2.4947658744973	0.0812514319522679	30.7042696301387	4.99169978605707e-207	1.34739190548643e-205
"CaT2T12g00906"	98.5328186652041	2.80845085040099	0.266551939224692	10.5362236664637	5.88133423319192e-26	3.10206580029419e-25
"CaT2T05g01332"	501.793184094593	1.09543230495731	0.101809612031986	10.7596157483948	5.33923273963891e-27	2.88070596519907e-26
"CaT2T03g00674"	458.369034059179	2.52682950974481	0.131599777739177	19.2008645694892	3.63982855274692e-82	4.3837961342303e-81
"CaT2T12g01998"	174.283984168579	1.23800166419105	0.172254103574723	7.18706630785151	6.61982664496913e-13	2.34027191965348e-12
"CaT2T05g00172"	1258.48004729648	1.87340821803078	0.0858110214535208	21.8317902094372	1.15795692350989e-105	1.73080613444821e-104
"CaT2T04g01469"	1229.89955575236	6.07628007309774	0.165268488938066	36.7661138075438	6.42707090274625e-296	2.66295454672477e-294
"CaT2T04g01460"	134.738460077322	1.48107382398616	0.202373789292304	7.31850616211437	2.50746509773291e-13	9.04570005284741e-13
"CaT2T05g01498"	136.922383951689	1.19177401959185	0.194337005326081	6.13251201227555	8.65021750828916e-10	2.65287790082953e-09
"CaT2T10g02878"	466.079334994787	4.03281411508564	0.155810948095855	25.8827390781594	1.0419174605649e-147	2.07422939139574e-146
"CaT2T08g01806"	8055.11628353864	1.14937250898264	0.0414963662574967	27.6981483595566	7.35009532576238e-169	1.61763788614351e-167
"CaT2T02g03573"	74.6352207254912	1.41662535872647	0.281864145640322	5.02591542996098	5.01036667369949e-07	1.30762519971213e-06
"CaT2T08g00049"	74.5763034920019	1.16067567838413	0.296082529603916	3.9201086262564	8.85090651187518e-05	0.000192053894107423
"CaT2T03g02872"	2962.86477721963	2.48926174731307	0.0543779997663638	45.7770009564205	0	0
"CaT2T01g05233"	329.921419332433	1.73836123721762	0.140429919072085	12.3788523749365	3.40172136685687e-35	2.19005947697853e-34
"CaT2T09g00929"	258.109825528476	1.38969767020352	0.157262636903978	8.83679491557832	9.85037252243803e-19	4.27633840230251e-18
"CaT2T09g00926"	34.3966331073836	1.15241579267932	0.389152415609701	2.96134816707686	0.00306295472877502	0.00556939421225242
"CaT2T08g01392"	250.719894339431	1.03948747164417	0.15634294754717	6.64876470574755	2.95563045579292e-11	9.68933684873709e-11
"CaT2T01g00461"	5598.99761839297	4.53181881095868	0.0584705700850158	77.5059795786059	0	0
"CaT2T01g05615"	426.821726738051	1.2394499936981	0.115605605855714	10.7213658414199	8.08012056298421e-27	4.34800976058561e-26
"CaT2T12g01695"	1206.44372684228	1.18522844691625	0.0708663115031261	16.72485023951	8.63930805596912e-63	8.4124402847381e-62
"CaT2T07g02078"	241.543562555152	1.03235264800277	0.146039348834694	7.06900336272602	1.56050367593024e-12	5.42379189011541e-12
"CaT2T07g02077"	76.6445061575239	1.14851374392992	0.261017254675915	4.40014490749255	1.08178614174827e-05	2.5505696379948e-05
"CaT2T07g02073"	344.418350870881	2.08317259241298	0.147764266818219	14.0979455809551	3.90987077412461e-45	2.97166368774564e-44
"CaT2T07g02070"	451.152685529275	4.06198111253608	0.162903303364368	24.9349216906339	3.11221684371548e-137	5.83500921005083e-136
"CaT2T08g00813"	4383.18299640329	1.26765394004899	0.0448748111835919	28.2486746264572	1.47771216106659e-175	3.36101694131068e-174
"CaT2T01g01251"	5228.37729521854	1.54456490091907	0.0445071178990242	34.7037726510018	6.91074939726206e-264	2.40240161338532e-262
"CaT2T06g03316"	151.569887495087	2.98634950863846	0.431383881739358	6.92271926479351	4.43055257222895e-12	1.50933170867228e-11
"CaT2T11g00622"	130.258807252283	2.32946712567848	0.222538106479366	10.4677224163156	1.21531865408457e-25	6.36438627552706e-25
"CaT2T07g02915"	351.568403134079	1.87789524528759	0.14558113285779	12.8993036970113	4.54182421380237e-38	3.08645625488125e-37
"CaT2T07g02914"	22574.19805321	5.93567453354305	0.0478951469264813	123.930604966183	0	0
"CaT2T05g01962"	792.432239386614	4.32088218208631	0.128088851026529	33.7334760009003	1.86792408791823e-249	6.07903309108849e-248
"CaT2T09g01529"	941.118257603097	1.03087473566244	0.0885501566504574	11.6417042573026	2.52910780337823e-31	1.50768995553775e-30
"CaT2T04g01070"	95.1660096476929	1.31256670212907	0.266276973202244	4.92932860977108	8.25126855755946e-07	2.12296095281755e-06
"CaT2T04g01073"	140.2205347557	1.37427444465533	0.204098111495224	6.73340108140832	1.65742355553462e-11	5.50126751570307e-11
