GeneID	log2FoldChange	color	KO_number
CaT2T09g02147	1.353	#e29182	K13993
CaT2T09g02148	1.048	#e29182	K13993
CaT2T02g03937	2.044	#db7765	K17479
CaT2T12g00723	1.183	#e29182	K10526
CaT2T03g01041	2.351	#db7765	K08332, K22499
CaT2T08g00186	1.537	#e29182	K13065
CaT2T07g01505	2.900	#db7765	K04733
CaT2T10g01057	4.107	#ca462e	K03320
CaT2T08g00451	2.234	#db7765	K00924
CaT2T01g03450	6.152	#903221	K20714
CaT2T09g02462	2.878	#db7765	K00799
CaT2T09g02464	4.491	#ca462e	K00799
CaT2T07g03237	2.593	#db7765	K00640
CaT2T09g03138	1.297	#e29182	K08232
CaT2T03g01206	5.294	#ad3c28	K10664
CaT2T03g04367	1.335	#e29182	K01537
CaT2T03g04368	1.365	#e29182	K01537
CaT2T03g04369	1.145	#e29182	K01537
CaT2T07g02089	1.292	#e29182	K04733
CaT2T08g01647	1.478	#e29182	K10664
CaT2T01g01528	1.500	#e29182	K22246
CaT2T06g02345	3.643	#d45d48	K00750
CaT2T06g02347	3.048	#d45d48	K20725
CaT2T12g02401	7.296	#73281a	K14184, K15795, K15799, K15803
CaT2T12g02402	7.029	#73281a	K14184, K15795, K15799, K15803
CaT2T03g01201	2.096	#db7765	K06067
CaT2T12g01321	1.442	#e29182	K05692
CaT2T07g00387	1.780	#e29182	K01183
CaT2T07g00388	2.080	#db7765	K01183
CaT2T07g00389	2.519	#db7765	K01183
CaT2T05g00684	1.026	#e29182	K11982
CaT2T12g00832	1.138	#e29182	K04421, K11229
CaT2T08g00720	5.271	#ad3c28	K15095
CaT2T08g00325	2.527	#db7765	K01772
CaT2T08g02218	1.430	#e29182	K07019, K13696
CaT2T03g03119	1.568	#e29182	K08967, K09419
CaT2T03g01737	3.941	#d45d48	K15102
CaT2T10g02058	1.942	#e29182	K11778
CaT2T07g02828	1.475	#e29182	K04125
CaT2T07g02821	1.846	#e29182	K09840
CaT2T10g00361	3.447	#d45d48	K10666
CaT2T01g00720	4.210	#ca462e	K09286, K14517
CaT2T08g00689	3.059	#d45d48	K10527
CaT2T07g01751	1.079	#e29182	K00626
CaT2T11g00057	1.463	#e29182	K14490
CaT2T04g01201	5.299	#ad3c28	K16282
CaT2T05g01645	2.079	#db7765	K00029
CaT2T01g03612	2.128	#db7765	K04125
CaT2T03g01722	1.216	#e29182	K14379
CaT2T03g00459	1.898	#e29182	K07976
CaT2T11g00572	2.618	#db7765	K13448
CaT2T02g02769	1.096	#e29182	K08237
CaT2T10g02978	3.603	#d45d48	K13494, K13495
CaT2T01g04053	2.244	#db7765	K10144
CaT2T02g03980	1.476	#e29182	K08900
CaT2T02g03981	1.099	#e29182	K08900
CaT2T02g03982	2.746	#db7765	K08900
CaT2T01g00286	1.596	#e29182	K18635
CaT2T03g02064	2.960	#db7765	K14488
CaT2T01g00968	2.328	#db7765	K13448
CaT2T02g00272	1.269	#e29182	K05933
CaT2T01g00035	1.423	#e29182	K00001
CaT2T04g00540	1.616	#e29182	K13051
CaT2T04g00376	1.596	#e29182	K10610
CaT2T11g03387	1.128	#e29182	K15115
CaT2T02g00071	1.559	#e29182	K06950
CaT2T07g03118	1.406	#e29182	K01681
CaT2T05g01768	1.367	#e29182	K09286
CaT2T12g00029	4.584	#ca462e	K15404
