GeneID	log2FoldChange	color	KO_number
CaT2T08g00114	1.044	#e29182	K01580
CaT2T07g02831	1.171	#e29182	K04125
CaT2T03g04399	1.102	#e29182	K15397
CaT2T07g00906	1.143	#e29182	K14431
CaT2T12g00038	1.078	#e29182	K10256, K21704, K21710, K21736
CaT2T12g00039	1.338	#e29182	K10256, K21704, K21710, K21736
CaT2T11g01109	1.357	#e29182	K12471
CaT2T02g02841	1.229	#e29182	K20777
CaT2T07g02514	1.147	#e29182	K04427
CaT2T07g02754	1.161	#e29182	K14504
CaT2T02g01941	1.219	#e29182	K04733, K13420
CaT2T08g02666	1.217	#e29182	K14487
CaT2T07g01948	1.238	#e29182	K20716
CaT2T02g00783	1.201	#e29182	K00799
CaT2T02g00784	1.021	#e29182	K15208
CaT2T05g03237	1.150	#e29182	K15502
CaT2T03g02629	-1.582	#76d3ee	K13352
CaT2T12g01891	-1.137	#76d3ee	K10807
CaT2T04g02427	-1.037	#76d3ee	K03320
CaT2T12g01878	-1.459	#76d3ee	K05666
CaT2T08g03085	-1.090	#76d3ee	K14488
CaT2T04g01377	-1.176	#76d3ee	K20623
CaT2T05g00396	-1.182	#76d3ee	K20562
CaT2T09g02147	-2.900	#56c9ea	K13993
CaT2T09g00496	-1.119	#76d3ee	K11593
CaT2T11g03406	-1.117	#76d3ee	K18693
CaT2T08g03180	-1.261	#76d3ee	K10736
CaT2T03g04355	-1.278	#76d3ee	K08245
CaT2T07g03030	-1.033	#76d3ee	K10418
CaT2T03g02690	-1.409	#76d3ee	K20661, K20662
CaT2T07g03297	-1.013	#76d3ee	K00876
CaT2T07g02693	-1.356	#76d3ee	K07428, K10717, K20660
CaT2T06g02732	-1.138	#76d3ee	K14488
CaT2T10g03332	-1.235	#76d3ee	K09571
CaT2T01g05250	-1.658	#76d3ee	K21026
CaT2T08g02102	-1.043	#76d3ee	K00521
CaT2T09g02318	-1.034	#76d3ee	K11982, K19041
CaT2T07g03138	-1.035	#76d3ee	K20417
CaT2T07g00210	-1.126	#76d3ee	K03255
CaT2T02g00953	-1.523	#76d3ee	K00083
CaT2T02g00083	-1.771	#76d3ee	K00968
CaT2T01g03426	-2.067	#56c9ea	K13947
CaT2T02g00004	-1.182	#76d3ee	K08775
CaT2T08g02253	-1.014	#76d3ee	K15707
CaT2T03g00683	-1.040	#76d3ee	K07192
CaT2T05g03018	-1.190	#76d3ee	K10733
CaT2T02g04218	-1.393	#76d3ee	K13430
CaT2T01g01308	-1.102	#76d3ee	K19219
CaT2T12g00886	-1.643	#76d3ee	K06627
CaT2T11g01346	-1.300	#76d3ee	K19589
CaT2T07g01931	-1.129	#76d3ee	K19861
CaT2T05g03200	-1.036	#76d3ee	K18045
CaT2T10g02955	-1.347	#76d3ee	K14508
CaT2T10g02548	-1.527	#76d3ee	K09571
