GeneID	log2FoldChange	color	KO_number
CaT2T07g01914	1.912	#e29182	K05933
CaT2T07g01915	7.439	#73281a	K05933
CaT2T07g01916	7.500	#73281a	K05933
CaT2T07g01917	2.544	#db7765	K01246
CaT2T05g01758	1.110	#e29182	K22132
CaT2T11g00691	1.325	#e29182	K21752
CaT2T05g01752	1.447	#e29182	K14516
CaT2T03g04139	5.714	#ad3c28	K01051
CaT2T03g04138	1.661	#e29182	K16286
CaT2T11g00527	1.495	#e29182	K05288
CaT2T05g01123	2.305	#db7765	K13495
CaT2T03g02424	1.698	#e29182	K04733
CaT2T10g02900	1.927	#e29182	K13448
CaT2T08g02441	2.163	#db7765	K14652
CaT2T01g02904	2.957	#db7765	K16286
CaT2T06g00815	1.019	#e29182	K15287
CaT2T02g00994	3.397	#d45d48	K12448
CaT2T10g00413	1.726	#e29182	K17879
CaT2T01g02010	2.108	#db7765	K00430
CaT2T01g01660	1.456	#e29182	K14423, K20028
CaT2T02g00203	1.324	#e29182	K00020
CaT2T07g03306	1.897	#e29182	K06617
CaT2T05g03264	1.201	#e29182	K17966
CaT2T10g02865	4.962	#ca462e	K06628
CaT2T02g04068	1.457	#e29182	K07442
CaT2T04g00539	1.322	#e29182	K14505
CaT2T11g00222	1.466	#e29182	K00924
CaT2T05g01557	1.116	#e29182	K04382
CaT2T08g02221	3.070	#d45d48	K07019, K13696
CaT2T01g04542	1.364	#e29182	K20092
CaT2T02g03408	2.242	#db7765	K01762
CaT2T10g00332	1.297	#e29182	K09503
CaT2T01g04476	1.614	#e29182	K15777
CaT2T12g01724	4.037	#ca462e	K00891
CaT2T07g02367	2.155	#db7765	K09286
CaT2T02g00819	1.417	#e29182	K21374
CaT2T02g00814	1.439	#e29182	K12858
CaT2T05g00201	1.404	#e29182	K21842
CaT2T12g03819	2.660	#db7765	K00901
CaT2T06g01673	1.286	#e29182	K01530
CaT2T04g03099	1.375	#e29182	K20222
CaT2T08g03169	1.268	#e29182	K19366
CaT2T10g00139	4.220	#ca462e	K10840
CaT2T09g02576	1.943	#e29182	K02703, K20000
CaT2T11g01989	1.087	#e29182	K01510
CaT2T03g04518	6.394	#903221	K09422
CaT2T03g04510	2.028	#db7765	K08176
CaT2T08g01851	1.390	#e29182	K08489
CaT2T02g02738	1.625	#e29182	K07889
CaT2T02g02739	1.542	#e29182	K17839
CaT2T02g03211	2.706	#db7765	K01054
CaT2T03g00401	6.703	#903221	K09422
CaT2T03g00409	1.976	#e29182	K04733
CaT2T03g00053	1.201	#e29182	K00814
CaT2T03g00057	1.157	#e29182	K00921
CaT2T12g01390	1.647	#e29182	K10999
CaT2T10g00592	1.012	#e29182	K02183, K10840, K16465
CaT2T03g01234	1.496	#e29182	K13993
CaT2T07g01626	1.996	#e29182	K09486
CaT2T07g01627	4.051	#ca462e	K12448
CaT2T07g01623	1.495	#e29182	K17839
CaT2T07g01991	6.324	#903221	K07418
CaT2T04g02086	1.966	#e29182	K02112
CaT2T11g00618	2.195	#db7765	K09842, K11817, K22417
CaT2T06g03340	1.111	#e29182	K11982
CaT2T05g00527	2.117	#db7765	K13412
CaT2T04g01044	3.638	#d45d48	K00773
CaT2T03g00241	2.318	#db7765	K14004
CaT2T03g00244	1.114	#e29182	K14313
CaT2T02g02379	4.823	#ca462e	K04733
CaT2T05g00356	1.951	#e29182	K16675
CaT2T03g02305	1.790	#e29182	K04079
CaT2T06g03182	1.411	#e29182	K14777
CaT2T06g02052	1.119	#e29182	K13783
CaT2T01g00069	2.724	#db7765	K20241
CaT2T07g03388	1.438	#e29182	K15631
CaT2T10g00829	3.886	#d45d48	K13832
CaT2T06g00516	2.363	#db7765	K18873
CaT2T01g00719	2.056	#db7765	K09286
CaT2T03g04762	1.228	#e29182	K04681
CaT2T03g03237	1.329	#e29182	K20168
CaT2T08g01792	1.023	#e29182	K15718
CaT2T05g02914	1.494	#e29182	K01580
CaT2T04g00213	1.247	#e29182	K11253
CaT2T08g02098	1.473	#e29182	K08472
CaT2T03g02671	3.080	#d45d48	K09286
CaT2T01g00264	4.559	#ca462e	K13425, K13426
CaT2T08g03052	1.314	#e29182	K11498
CaT2T08g03058	2.184	#db7765	K21630
CaT2T01g03790	1.389	#e29182	K10523
CaT2T03g04208	1.169	#e29182	K00454, K15718
CaT2T01g04218	2.532	#db7765	K08235
CaT2T01g02118	4.937	#ca462e	K00858
CaT2T08g01521	1.546	#e29182	K12879
CaT2T06g01956	2.990	#db7765	K13494, K13495
CaT2T06g00493	2.231	#db7765	K11252
CaT2T06g02894	1.715	#e29182	K09422
CaT2T06g02899	1.855	#e29182	K10691
CaT2T05g00437	2.297	#db7765	K00164
CaT2T04g00479	1.280	#e29182	K17193
CaT2T04g01436	1.109	#e29182	K20557
CaT2T02g03522	1.467	#e29182	K01365, K16290, K16292
CaT2T08g02682	1.300	#e29182	K00899
CaT2T07g03062	2.730	#db7765	K04733
CaT2T01g00433	1.660	#e29182	K00818
CaT2T01g00438	8.342	#561e14	K03327
CaT2T09g02594	1.667	#e29182	K05572, K05579
CaT2T09g02593	2.404	#db7765	K02982
CaT2T09g02592	1.994	#e29182	K02874
CaT2T09g02591	1.394	#e29182	K02948
CaT2T10g02483	2.009	#db7765	K20618
CaT2T07g00575	1.427	#e29182	K13448
CaT2T12g01900	2.274	#db7765	K04957, K12879
CaT2T12g01909	1.029	#e29182	K00472
CaT2T06g03241	1.078	#e29182	K00434
CaT2T06g03240	1.041	#e29182	K00434
CaT2T06g01733	1.542	#e29182	K05387
CaT2T06g01732	5.059	#ad3c28	K05387
CaT2T06g01735	1.660	#e29182	K05387
CaT2T06g01734	5.828	#ad3c28	K05387
CaT2T11g03434	1.239	#e29182	K08730
CaT2T11g03432	1.002	#e29182	K01623
CaT2T02g04190	1.266	#e29182	K00430
CaT2T12g02376	6.884	#903221	K14184, K15795, K15799, K15803
CaT2T02g03879	1.617	#e29182	K01850
CaT2T03g04656	1.434	#e29182	K19613
CaT2T09g01635	8.276	#561e14	K08193
CaT2T02g00754	4.029	#ca462e	K02575
CaT2T12g01292	1.798	#e29182	K01784
CaT2T12g01294	1.446	#e29182	K00940
CaT2T02g03899	1.094	#e29182	K18666
CaT2T04g02459	1.618	#e29182	K19755
CaT2T06g01864	4.162	#ca462e	K15397
CaT2T06g01866	4.579	#ca462e	K04730
CaT2T06g01862	1.763	#e29182	K20793
CaT2T11g01351	2.738	#db7765	K09955
CaT2T05g01873	2.199	#db7765	K13258
CaT2T09g01388	1.713	#e29182	K14293
CaT2T04g01168	3.784	#d45d48	K01834
CaT2T09g00068	1.253	#e29182	K05391
CaT2T09g02140	3.935	#d45d48	K04714
CaT2T10g00041	1.448	#e29182	K00787
CaT2T01g03713	1.560	#e29182	K01090
CaT2T10g00593	1.534	#e29182	K08867
CaT2T02g03937	2.182	#db7765	K17479
CaT2T04g00014	1.025	#e29182	K14571
CaT2T04g00016	1.413	#e29182	K00558
CaT2T01g02194	1.272	#e29182	K14432
CaT2T02g03683	1.541	#e29182	K01180
CaT2T02g03682	1.185	#e29182	K01180
CaT2T12g00723	3.711	#d45d48	K10526
CaT2T03g01043	2.561	#db7765	K14963
CaT2T03g01041	2.243	#db7765	K08332, K22499
CaT2T06g03730	1.102	#e29182	K04733
CaT2T07g01505	4.818	#ca462e	K04733
CaT2T10g01057	4.927	#ca462e	K03320
CaT2T08g00451	3.084	#d45d48	K00924
CaT2T01g03450	4.358	#ca462e	K20714
CaT2T09g02462	3.966	#d45d48	K00799
CaT2T09g02466	1.072	#e29182	K01102
CaT2T07g03237	1.089	#e29182	K00640
CaT2T03g01332	1.336	#e29182	K07195
CaT2T04g02173	1.169	#e29182	K20456
CaT2T05g01448	1.016	#e29182	K00737
CaT2T04g00153	1.788	#e29182	K09487
CaT2T08g02606	2.830	#db7765	K00873
CaT2T09g03138	2.343	#db7765	K08232
CaT2T03g01206	4.927	#ca462e	K10664
CaT2T03g04367	1.726	#e29182	K01537
CaT2T03g04368	1.831	#e29182	K01537
CaT2T03g04369	1.575	#e29182	K01537
CaT2T07g02089	1.990	#e29182	K04733
CaT2T01g02874	1.734	#e29182	K11866
CaT2T08g01647	3.115	#d45d48	K10664
CaT2T01g01528	4.623	#ca462e	K22246
CaT2T02g03769	3.310	#d45d48	K15121
CaT2T02g02177	1.671	#e29182	K08899, K14769
CaT2T03g02271	1.307	#e29182	K20720, K20721, K20723
CaT2T06g02345	5.450	#ad3c28	K00750
CaT2T06g02347	3.727	#d45d48	K20725
CaT2T12g02401	10.238	None	K14184, K15795, K15799, K15803
CaT2T12g01988	1.232	#e29182	K08770
CaT2T03g01205	1.370	#e29182	K12823
CaT2T03g01201	4.648	#ca462e	K06067
CaT2T12g01329	1.060	#e29182	K09260
CaT2T07g00387	3.736	#d45d48	K01183
CaT2T07g00388	1.820	#e29182	K01183
CaT2T07g00389	3.294	#d45d48	K01183
CaT2T05g02042	1.260	#e29182	K10523
CaT2T05g00684	1.226	#e29182	K11982
CaT2T04g02031	1.071	#e29182	K10573
CaT2T03g02470	2.122	#db7765	K03327
CaT2T01g00688	1.437	#e29182	K12353
CaT2T10g00200	1.298	#e29182	K10956
CaT2T12g00832	1.835	#e29182	K04421, K11229
CaT2T08g00720	7.350	#73281a	K15095
CaT2T06g00845	1.177	#e29182	K00847
CaT2T02g00961	1.234	#e29182	K14508
CaT2T01g01654	1.001	#e29182	K14826
CaT2T01g01653	2.418	#db7765	K10885
CaT2T11g01601	2.287	#db7765	K01648
CaT2T04g02656	1.405	#e29182	K13412
CaT2T05g00729	1.164	#e29182	K20562
CaT2T08g00325	4.049	#ca462e	K01772
CaT2T08g02218	2.407	#db7765	K07019, K13696
CaT2T03g03119	1.842	#e29182	K08967, K09419
CaT2T01g05246	1.171	#e29182	K15255, K17267
CaT2T01g04984	1.137	#e29182	K22419
CaT2T03g01737	6.807	#903221	K15102
CaT2T10g00980	1.606	#e29182	K02703
CaT2T10g00981	1.240	#e29182	K02992
CaT2T10g00985	1.865	#e29182	K02703, K03243
CaT2T10g00987	1.891	#e29182	K02110, K02155, K02919
CaT2T07g03194	1.129	#e29182	K09286
CaT2T07g02829	1.681	#e29182	K04125
CaT2T07g02821	1.892	#e29182	K09840
CaT2T10g00361	3.384	#d45d48	K10666
CaT2T01g00720	5.928	#ad3c28	K09286, K14517
CaT2T08g00680	1.339	#e29182	K09420, K09422, K21769
CaT2T08g00689	4.794	#ca462e	K10527
CaT2T07g01751	2.636	#db7765	K00626
CaT2T09g00328	1.323	#e29182	K11434
CaT2T09g00329	1.662	#e29182	K15084
CaT2T06g03276	1.521	#e29182	K15235
CaT2T06g03278	1.242	#e29182	K09580
CaT2T11g00253	1.431	#e29182	K12836
CaT2T04g01201	5.951	#ad3c28	K16282
CaT2T06g00112	1.866	#e29182	K16277
CaT2T05g01399	4.109	#ca462e	K20667
CaT2T02g02906	1.140	#e29182	K00831, K12591
CaT2T05g01642	1.837	#e29182	K03236
CaT2T05g01645	2.464	#db7765	K00029
CaT2T01g03612	5.245	#ad3c28	K04125
CaT2T01g02563	1.244	#e29182	K14514
CaT2T03g00840	1.319	#e29182	K11778
CaT2T03g02141	2.415	#db7765	K06268
CaT2T10g01978	1.257	#e29182	K12761
CaT2T02g03224	1.087	#e29182	K00227
CaT2T09g00294	1.184	#e29182	K11155
CaT2T01g05258	1.807	#e29182	K13459
CaT2T03g00459	3.292	#d45d48	K07976
CaT2T09g00949	1.909	#e29182	K00975
CaT2T09g00943	1.794	#e29182	K05605
CaT2T03g01358	1.109	#e29182	K11724
CaT2T06g00759	2.049	#db7765	K19043
CaT2T12g02721	2.788	#db7765	K13464
CaT2T11g00572	2.515	#db7765	K13448
CaT2T02g02769	1.129	#e29182	K08237
CaT2T04g00947	1.703	#e29182	K00327
CaT2T07g00599	1.314	#e29182	K20043
CaT2T08g02160	1.031	#e29182	K14486
CaT2T10g02973	1.691	#e29182	K13494, K13495
CaT2T07g00594	1.663	#e29182	K00737, K14484
CaT2T02g03981	2.547	#db7765	K08900
CaT2T02g03982	5.111	#ad3c28	K08900
CaT2T01g00282	1.103	#e29182	K17604
CaT2T10g02095	1.075	#e29182	K14638
CaT2T03g02061	2.160	#db7765	K00924
CaT2T03g02064	3.884	#d45d48	K14488
CaT2T01g00968	1.982	#e29182	K13448
CaT2T02g02346	1.803	#e29182	K09422
CaT2T02g02349	1.214	#e29182	K15014
CaT2T02g00278	1.083	#e29182	K14009
CaT2T01g00033	1.066	#e29182	K11839, K21343
CaT2T07g00913	1.251	#e29182	K18469
CaT2T12g01241	1.264	#e29182	K13464
CaT2T04g00545	1.068	#e29182	K09422
CaT2T04g00540	4.569	#ca462e	K13051
CaT2T07g01844	1.367	#e29182	K15255
CaT2T04g00376	3.494	#d45d48	K10610
CaT2T03g00688	1.414	#e29182	K03360, K10268
CaT2T11g03387	2.441	#db7765	K15115
CaT2T02g00071	1.512	#e29182	K06950
CaT2T09g00755	1.179	#e29182	K13459
CaT2T09g00754	1.489	#e29182	K13459
CaT2T05g01768	2.530	#db7765	K09286
CaT2T07g02397	1.759	#e29182	K11000
CaT2T02g00845	1.263	#e29182	K00968
CaT2T12g00020	1.227	#e29182	K00558
CaT2T12g00025	1.385	#e29182	K04506
CaT2T12g00029	4.724	#ca462e	K15404
CaT2T12g03596	1.121	#e29182	K01915
CaT2T10g02712	1.010	#e29182	K00326
CaT2T09g00252	1.099	#e29182	K08596, K13459
CaT2T02g04188	1.828	#e29182	K10808
CaT2T06g00269	1.809	#e29182	K01495
CaT2T03g01015	1.001	#e29182	K05391
CaT2T07g01495	1.138	#e29182	K19513
CaT2T07g01490	1.076	#e29182	K00327
CaT2T05g01315	2.107	#db7765	K01530, K14802
CaT2T05g00197	1.473	#e29182	K01184, K01213
CaT2T08g01826	2.486	#db7765	K08726
