GeneID	log2FoldChange	color	KO_number
CaT2T03g03235	1.658	#e29182	K02875
CaT2T02g03632	1.340	#e29182	K20556
CaT2T08g01792	2.985	#db7765	K15718
CaT2T04g00213	1.090	#e29182	K11253
CaT2T11g02009	3.350	#d45d48	K20628
CaT2T08g02094	2.168	#db7765	K03457
CaT2T01g03248	1.967	#e29182	K11254
CaT2T10g00301	1.138	#e29182	K17081
CaT2T12g01993	1.581	#e29182	K02964
CaT2T11g01404	1.007	#e29182	K06990
CaT2T06g00492	2.684	#db7765	K11254
CaT2T06g00491	1.538	#e29182	K11254
CaT2T03g04045	2.457	#db7765	K03676
CaT2T03g04044	1.923	#e29182	K03676
CaT2T03g04048	1.191	#e29182	K04078
CaT2T02g03525	1.796	#e29182	K15507
CaT2T08g02686	1.047	#e29182	K08236
CaT2T09g02593	2.113	#db7765	K02982
CaT2T07g02945	1.885	#e29182	K11820, K13691
CaT2T07g02949	1.006	#e29182	K18416, K18418
CaT2T12g02486	1.060	#e29182	K22389
CaT2T11g03438	1.164	#e29182	K21626
CaT2T09g01632	1.611	#e29182	K02882
CaT2T08g02312	1.128	#e29182	K02925, K08498, K13339
CaT2T03g02964	1.547	#e29182	K21866
CaT2T12g01296	1.568	#e29182	K01179
CaT2T12g02034	1.826	#e29182	K00942
CaT2T01g05655	1.671	#e29182	K08341
CaT2T03g04286	1.293	#e29182	K02734
CaT2T07g02814	1.999	#e29182	K00799
CaT2T02g00657	1.736	#e29182	K12741
CaT2T03g01595	1.052	#e29182	K02998
CaT2T04g02177	1.393	#e29182	K17080
CaT2T03g00148	1.255	#e29182	K20472
CaT2T07g03365	1.543	#e29182	K02493
CaT2T03g01206	1.522	#e29182	K10664
CaT2T12g02344	2.002	#db7765	K02838
CaT2T05g01222	1.903	#e29182	K02997
CaT2T07g00384	1.320	#e29182	K01285
CaT2T04g02035	1.043	#e29182	K14308
CaT2T03g03306	1.016	#e29182	K03679
CaT2T09g01010	1.318	#e29182	K16732
CaT2T02g00131	1.832	#e29182	K02942
CaT2T02g00132	1.029	#e29182	K01899
CaT2T09g00656	1.472	#e29182	K08065
CaT2T11g00108	2.504	#db7765	K03676
CaT2T03g01296	1.337	#e29182	K07304
CaT2T10g03254	1.065	#e29182	K02889
CaT2T11g01605	1.396	#e29182	K07466
CaT2T06g01163	1.010	#e29182	K03681
CaT2T04g01323	1.420	#e29182	K09841
CaT2T01g04985	1.845	#e29182	K02912
CaT2T02g03454	1.514	#e29182	K02898
CaT2T11g01513	1.582	#e29182	K02537
CaT2T02g03189	1.322	#e29182	K09498
CaT2T10g02058	2.644	#db7765	K11778
CaT2T10g00981	1.438	#e29182	K02992
CaT2T10g00984	1.336	#e29182	K02992
CaT2T10g00987	2.482	#db7765	K02110, K02155, K02919
CaT2T07g03190	1.654	#e29182	K11996
CaT2T07g02823	1.083	#e29182	K14509
CaT2T02g01039	1.534	#e29182	K02975
CaT2T02g01037	1.400	#e29182	K02975
CaT2T03g04875	1.370	#e29182	K02872
CaT2T01g04408	1.952	#e29182	K04078
CaT2T12g01772	3.567	#d45d48	K02992
CaT2T09g00323	1.550	#e29182	K02910
CaT2T11g00059	1.376	#e29182	K05759
CaT2T01g01445	1.173	#e29182	K19893
CaT2T01g01448	1.941	#e29182	K21444
CaT2T04g00408	1.206	#e29182	K00512, K07408, K14985
CaT2T11g00424	1.274	#e29182	K02326
CaT2T10g01975	1.107	#e29182	K02896
CaT2T03g00459	1.163	#e29182	K07976
CaT2T09g00949	1.525	#e29182	K00975
CaT2T05g01980	2.298	#db7765	K12844
CaT2T04g01010	1.229	#e29182	K02971
CaT2T07g03166	1.610	#e29182	K03146
CaT2T01g05725	1.018	#e29182	K15456
CaT2T10g02560	1.765	#e29182	K02955
CaT2T12g00447	1.831	#e29182	K11755
CaT2T03g02330	2.024	#db7765	K14563
CaT2T09g00592	1.346	#e29182	K16871
CaT2T09g00599	1.032	#e29182	K09458
CaT2T11g01231	1.345	#e29182	K06688
CaT2T07g02867	1.526	#e29182	K00852
CaT2T11g00431	1.062	#e29182	K12251
CaT2T03g02640	2.146	#db7765	K10268
CaT2T09g03224	1.909	#e29182	K14571
CaT2T06g01908	1.078	#e29182	K08515
CaT2T02g04188	2.787	#db7765	K10808
CaT2T06g03414	1.004	#e29182	K07901
CaT2T06g00260	1.098	#e29182	K03007
CaT2T12g00924	3.114	#d45d48	K13348
CaT2T07g01492	1.723	#e29182	K05605
CaT2T03g04094	1.051	#e29182	K14839
CaT2T08g00393	1.087	#e29182	K02882
CaT2T09g00498	1.079	#e29182	K18404
CaT2T03g00947	1.582	#e29182	K11129
CaT2T02g01170	1.049	#e29182	K13457
CaT2T01g00561	1.016	#e29182	K00512
CaT2T10g02105	1.316	#e29182	K03232
CaT2T11g03406	1.846	#e29182	K18693
CaT2T06g03685	1.646	#e29182	K17710, K17964
CaT2T06g03689	2.293	#db7765	K17710, K17964
CaT2T03g00558	1.056	#e29182	K03428
CaT2T10g01167	1.047	#e29182	K12456
CaT2T11g01055	1.026	#e29182	K10703
CaT2T06g00563	1.220	#e29182	K02870
CaT2T09g01462	1.070	#e29182	K00565
CaT2T04g01114	1.274	#e29182	K06630
CaT2T04g01802	1.199	#e29182	K00588
CaT2T09g02173	1.123	#e29182	K00799
CaT2T09g02177	1.415	#e29182	K00799
CaT2T10g00548	1.828	#e29182	K08744
CaT2T02g00533	1.784	#e29182	K17710
CaT2T03g01678	1.004	#e29182	K14315
CaT2T02g03137	1.193	#e29182	K12399
CaT2T06g03497	1.347	#e29182	K02976
CaT2T07g00635	1.374	#e29182	K02919
CaT2T08g00403	1.448	#e29182	K11303
CaT2T06g03619	1.179	#e29182	K17769
CaT2T07g00904	2.924	#db7765	K14818
CaT2T07g00907	1.370	#e29182	K02942
CaT2T03g02767	1.341	#e29182	K02917
CaT2T03g00182	1.030	#e29182	K04733
